PLAYER,NATIONALITY,TYPE,PRICE PAID,TEAM
Ajinkya Rahane,Indian,Batter,"50,00,000",Chennai Super Kings
Bhagath Varma,Indian,All-Rounder,"20,00,000",Chennai Super Kings
Kyle Jamieson,Overseas,Bowler,"1,00,00,000",Chennai Super Kings
Ajay Mandal,Indian,All-Rounder,"20,00,000",Chennai Super Kings
Nishant Sindhu,Indian,All-Rounder,"60,00,000",Chennai Super Kings
Shaik Rasheed,Indian,Batter,"20,00,000",Chennai Super Kings
Ben Stokes,Overseas,All-Rounder,"16,25,00,000",Chennai Super Kings
Phil Salt,Overseas,Wicket-Keeper,"2,00,00,000",Delhi Capitals
Ishant Sharma,Indian,Bowler,"50,00,000",Delhi Capitals
Rilee Rossouw,Overseas,Batter,"4,60,00,000",Delhi Capitals
Manish Pandey,Indian,Batter,"2,40,00,000",Delhi Capitals
Mukesh Kumar,Indian,Bowler,"5,50,00,000",Delhi Capitals
Shivam Mavi,Indian,Bowler,"6,00,00,000",Gujarat Titans
K.S. Bharat,Indian,Wicket-Keeper,"1,20,00,000",Gujarat Titans
Urvil Patel,Indian,Wicket-Keeper,"20,00,000",Gujarat Titans
Mohit Sharma,Indian,Bowler,"50,00,000",Gujarat Titans
Joshua Little,Overseas,Bowler,"4,40,00,000",Gujarat Titans
Kane Williamson,Overseas,Batter,"2,00,00,000",Gujarat Titans
Odean Smith,Overseas,All-Rounder,"50,00,000",Gujarat Titans
Kulwant Khejroliya,Indian,Bowler,"20,00,000",Kolkata Knight Riders
Shakib Al Hasan,Overseas,All-Rounder,"1,50,00,000",Kolkata Knight Riders
Vaibhav Arora,Indian,Bowler,"60,00,000",Kolkata Knight Riders
N. Jagadeesan,Indian,Wicket-Keeper,"90,00,000",Kolkata Knight Riders
David Wiese,Overseas,All-Rounder,"1,00,00,000",Kolkata Knight Riders
Mandeep Singh,Indian,Batter,"50,00,000",Kolkata Knight Riders
Litton Das,Overseas,Wicket-Keeper,"50,00,000",Kolkata Knight Riders
Suyash Sharma,Indian,Bowler,"20,00,000",Kolkata Knight Riders
Amit Mishra,Indian,Bowler,"50,00,000",Lucknow Super Giants
Nicholas Pooran,Overseas,Wicket-Keeper,"16,00,00,000",Lucknow Super Giants
Romario Shepherd,Overseas,All-Rounder,"50,00,000",Lucknow Super Giants
Daniel Sams,Overseas,All-Rounder,"75,00,000",Lucknow Super Giants
Swapnil Singh,Indian,All-Rounder,"20,00,000",Lucknow Super Giants
Yudhvir Charak,Indian,All-Rounder,"20,00,000",Lucknow Super Giants
Prerak Mankad,Indian,All-Rounder,"20,00,000",Lucknow Super Giants
Yash Thakur,Indian,Bowler,"45,00,000",Lucknow Super Giants
Naveen Ul Haq,Overseas,Bowler,"50,00,000",Lucknow Super Giants
Jaydev Unadkat,Indian,Bowler,"50,00,000",Lucknow Super Giants
Jhye Richardson,Overseas,Bowler,"1,50,00,000",Mumbai Indians
Nehal Wadhera,Indian,All-Rounder,"20,00,000",Mumbai Indians
Raghav Goyal,Indian,Bowler,"20,00,000",Mumbai Indians
Cameron Green,Overseas,All-Rounder,"17,50,00,000",Mumbai Indians
Vishnu Vinod,Indian,Wicket-Keeper,"20,00,000",Mumbai Indians
Duan Jansen,Overseas,All-Rounder,"20,00,000",Mumbai Indians
Piyush Chawla,Indian,Bowler,"50,00,000",Mumbai Indians
Shams Mulani,Indian,All-Rounder,"20,00,000",Mumbai Indians
Harpreet Bhatia,Indian,Batter,"40,00,000",Punjab Kings
Shivam Singh,Indian,All-Rounder,"20,00,000",Punjab Kings
Vidwath Kaverappa,Indian,Bowler,"20,00,000",Punjab Kings
Mohit Rathee,Indian,All-Rounder,"20,00,000",Punjab Kings
Sam Curran,Overseas,All-Rounder,"18,50,00,000",Punjab Kings
Sikandar Raza,Overseas,All-Rounder,"50,00,000",Punjab Kings
Jason Holder,Overseas,All-Rounder,"5,75,00,000",Rajasthan Royals
Adam Zampa,Overseas,Bowler,"1,50,00,000",Rajasthan Royals
Abdul P A,Indian,All-Rounder,"20,00,000",Rajasthan Royals
Akash Vashisht,Indian,All-Rounder,"20,00,000",Rajasthan Royals
Donovan Ferreira,Overseas,Wicket-Keeper,"50,00,000",Rajasthan Royals
Kunal Rathore,Indian,Wicket-Keeper,"20,00,000",Rajasthan Royals
