PLAYER,TYPE,BASE PRICE
James Faulkner,All-Rounder,"2,00,00,000"
Josh Hazlewood,Bowler,"2,00,00,000"
Eoin Morgan,Batsman,"2,00,00,000"
Angelo Mathews,All-Rounder,"2,00,00,000"
Cameron White,Batsman,"2,00,00,000"
Corey Anderson,All-Rounder,"2,00,00,000"
David Willey,All-Rounder,"2,00,00,000"
Liam Plunkett,Bowler,"2,00,00,000"
Colin Ingram,Batsman,"2,00,00,000"
Moises Henriques,All-Rounder,"1,50,00,000"
Ravi Bopara,All-Rounder,"1,50,00,000"
Jonny Bairstow,Wicket Keeper,"1,50,00,000"
Hashim Amla,Batsman,"1,50,00,000"
Kyle Abbott,Bowler,"1,50,00,000"
Travis Head,Batsman,"1,50,00,000"
Jason Holder,All-Rounder,"1,50,00,000"
Shaun Marsh,Batsman,"1,50,00,000"
Michael Klinger,Batsman,"1,50,00,000"
Lendl Simmons,Batsman,"1,50,00,000"
Nathan Lyon,Bowler,"1,50,00,000"
Peter Handscomb,Wicket Keeper,"1,50,00,000"
Steven Finn,Bowler,"1,50,00,000"
Harry Gurney,Bowler,"1,50,00,000"
Joe Root,Batsman,"1,50,00,000"
Tymal Mills,Bowler,"1,00,00,000"
Dwayne Smith,All-Rounder,"1,00,00,000"
Adam Zampa,Bowler,"1,00,00,000"
Alex Hales,Batsman,"1,00,00,000"
Dale Steyn,Bowler,"1,00,00,000"
Samuel Badree,Bowler,"1,00,00,000"
Tom Curran,All-Rounder,"1,00,00,000"
Mitchell McClenaghan,Bowler,"1,00,00,000"
Lasith Malinga,Bowler,"1,00,00,000"
Mohammed Shami,Bowler,"1,00,00,000"
Martin Guptill,Batsman,"75,00,000"
Peter Siddle,Bowler,"75,00,000"
Darren Bravo,Batsman,"75,00,000"
Darren Sammy,All-Rounder,"75,00,000"
Jerome Taylor,Bowler,"75,00,000"
Lockie Ferguson,Bowler,"75,00,000"
Cheteshwar Pujara,Batsman,"75,00,000"
Ross Taylor,Batsman,"75,00,000"
Morne Morkel,Bowler,"75,00,000"
Ishant Sharma,Bowler,"75,00,000"
Usman Khawaja,Batsman,"75,00,000"
Johnson Charles,Wicket Keeper,"75,00,000"
Luke Ronchi,Wicket Keeper,"75,00,000"
Adil Rashid,All-Rounder,"75,00,000"
Joe Denly,All-Rounder,"75,00,000"
Samit Patel,All-Rounder,"75,00,000"
Adam Milne,Bowler,"75,00,000"
Wayne Parnell,All-Rounder,"75,00,000"
Marchant De Lange,Bowler,"75,00,000"
Reeza Hendricks,Batsman,"50,00,000"
John Hastings,All-Rounder,"50,00,000"
Ronsford Beaton,Bowler,"50,00,000"
Sikandar Butt,All-Rounder,"50,00,000"
Graeme Cremer,All-Rounder,"50,00,000"
Rishi Dhawan,All-Rounder,"50,00,000"
Solomon Mire,All-Rounder,"50,00,000"
Ryan McLaren,All-Rounder,"50,00,000"
Parveez Rasool,All-Rounder,"50,00,000"
Shabbir Rahaman,All-Rounder,"50,00,000"
Vernon Philander,All-Rounder,"50,00,000"
Mandeep Hardev Singh,Batsman,"50,00,000"
Abul Raju,All-Rounder,"50,00,000"
Paul Stirling,All-Rounder,"50,00,000"
Malcolm Waller,All-Rounder,"50,00,000"
Gulbadin Naib,Bowler,"50,00,000"
Ish Sodhi,Bowler,"50,00,000"
Duanne Olivier,Bowler,"50,00,000"
Dilshan Munaweera,All-Rounder,"50,00,000"
Michael Beer,Bowler,"50,00,000"
Thisara Perera,All-Rounder,"50,00,000"
Anton Devcich,Batsman,"50,00,000"
Seekkuge Prasanna,All-Rounder,"50,00,000"
Ashton Agar,All-Rounder,"50,00,000"
Sachithra Senanayaka,Bowler,"50,00,000"
Upul Tharanga,Batsman,"50,00,000"
Glenn Phillips,Wicket Keeper,"50,00,000"
Denesh Ramdin,Wicket Keeper,"50,00,000"
Dawlat Zadran,Bowler,"50,00,000"
Rahmat Shah Zarmatai,All-Rounder,"50,00,000"
Aaron Phangiso,Bowler,"50,00,000"
Dwaine Pretorius,All-Rounder,"50,00,000"
Niroshan Dickwella,Wicket Keeper,"50,00,000"
Beuran Hendricks,Bowler,"50,00,000"
Lakshan Sandakan,Bowler,"50,00,000"
David Wiese,All-Rounder,"50,00,000"
Kusal Janith Perera,Wicket Keeper,"50,00,000"
Aravind Sreenath,Bowler,"50,00,000"
Joe Burns,Batsman,"50,00,000"
Asela Gunarathna,All-Rounder,"50,00,000"
Dhananjaya Silva,All-Rounder,"50,00,000"
Andile Phehlukwayo,All-Rounder,"50,00,000"
Nicolas Pooran,Wicket Keeper,"50,00,000"
Jonathan Carter,All-Rounder,"50,00,000"
Rovman Powell,All-Rounder,"50,00,000"
Sean Abbott,Bowler,"50,00,000"
Ben Wheeler,Bowler,"50,00,000"
Kesrick Williams,Bowler,"50,00,000"
Irfan Pathan,All-Rounder,"50,00,000"
Ashoke Dinda,Bowler,"50,00,000"
Praveen Kumar,Bowler,"50,00,000"
Alex Carey,Wicket Keeper,"50,00,000"
Chadwick Walton,Wicket Keeper,"50,00,000"
Pragyan Ojha,Bowler,"50,00,000"
Jhye Richardson,Bowler,"50,00,000"
Rahul Sharma,Bowler,"50,00,000"
Joel Paris,Bowler,"50,00,000"
Marlon Samuels,All-Rounder,"50,00,000"
Andre Fletcher,All-Rounder,"50,00,000"
Tamim Khan,Batsman,"50,00,000"
Aiden Markram,Batsman,"50,00,000"
Hilton Cartwright,All-Rounder,"50,00,000"
Varun Aaron,Bowler,"50,00,000"
Parvinder Awana,Bowler,"50,00,000"
Dasun Shanka,All-Rounder,"50,00,000"
Munaf Patel,Bowler,"50,00,000"
Tom Latham,Wicket Keeper,"50,00,000"
M Shahzad Mohammadi,Wicket Keeper,"50,00,000"
Scott Boland,Bowler,"50,00,000"
Shafiqullah Shafaq,Wicket Keeper,"50,00,000"
Shannon Gabriel,Bowler,"50,00,000"
Dawid Malan,All-Rounder,"50,00,000"
Faiz Fazal,Batsman,"50,00,000"
Keshav Maharaj,Bowler,"50,00,000"
Farhaan Behardien,All-Rounder,"50,00,000"
Abhinav Mukund,Batsman,"50,00,000"
Venugopal Rao,Batsman,"50,00,000"
Dane Paterson,Bowler,"50,00,000"
Ben Hilfenhaus,Bowler,"50,00,000"
Seth Rance,Bowler,"50,00,000"
Fawad Ahmed,Bowler,"50,00,000"
Tabrez Shamsi,Bowler,"50,00,000"
Jon-Jon Trevor Smuts,All-Rounder,"50,00,000"
Ashley Nurse,All-Rounder,"50,00,000"
Scott Kuggeleijn,All-Rounder,"50,00,000"
Dean Elgar,Batsman,"50,00,000"
Robbie Frylinck,All-Rounder,"50,00,000"
Wiaan Mulder,All-Rounder,"50,00,000"
Neil Wagner,Bowler,"50,00,000"
Shapoor Zadran,Bowler,"50,00,000"
Vaughn Van Jaarsveld,All-Rounder,"50,00,000"
Abhimanyu Mithun,Bowler,"50,00,000"
Rayad Emrit,All-Rounder,"50,00,000"
Mohammad Mahmudullah,All-Rounder,"50,00,000"
Najibullah Zadran,Batsman,"50,00,000"
Sheldon Cottrell,Bowler,"50,00,000"
Matt Henry,Bowler,"50,00,000"
Nuwan Kulasekara,Bowler,"50,00,000"
Suranga Lakmal,Bowler,"50,00,000"
Manpreet Gony,Bowler,"50,00,000"
Isuru Udana,All-Rounder,"50,00,000"
Pankaj Singh,Bowler,"50,00,000"
Sudeep Tyagi,Bowler,"50,00,000"
Thomas Helm,Bowler,"40,00,000"
Rajat Bhatia,All-Rounder,"40,00,000"
Kevon Cooper,All-Rounder,"40,00,000"
Mitchell Swepson,Bowler,"40,00,000"
Tom Cooper,Batsman,"40,00,000"
Eklavya Dwivedi,Wicket Keeper,"40,00,000"
Michael Neser,All-Rounder,"40,00,000"
Iqbal Abdullah,Bowler,"30,00,000"
Christiaan Jonker,Batsman,"30,00,000"
Ben McDermott,Wicket Keeper,"30,00,000"
Roshon Primus,All-Rounder,"30,00,000"
Gurvinder Singh,Bowler,"30,00,000"
Vishnu Solanki,Batsman,"30,00,000"
Alex Ross,Batsman,"30,00,000"
Daniel Hughes,Batsman,"30,00,000"
Ishwar Chandra Pandey,Bowler,"25,00,000"
Manprit Juneja,Batsman,"20,00,000"
Vyshak Vijay Kumar,All-Rounder,"20,00,000"
Junior Dala,Bowler,"20,00,000"
Jaydev Shah,All-Rounder,"20,00,000"
Karan Thakur,Bowler,"20,00,000"
Mayank Siddana,Batsman,"20,00,000"
Anurag Verma,Bowler,"20,00,000"
Shashank Singh,All-Rounder,"20,00,000"
Lizaad Williams,Bowler,"20,00,000"
Ankush Bains,Wicket Keeper,"20,00,000"
Tanveer Ulhaq,Bowler,"20,00,000"
Kushang Patel,Bowler,"20,00,000"
Armaan Jaffer,Batsman,"20,00,000"
