PLAYER,NATIONALITY,TYPE,BASE PRICE
Tom Banton,Overseas,Wicket-Keeper,"2,00,00,000"
Chris Jordan,Overseas,Bowler,"2,00,00,000"
Adam Milne,Overseas,Bowler,"2,00,00,000"
Travis Head,Overseas,Batter,"2,00,00,000"
Rassie Van Der Dussen,Overseas,Batter,"2,00,00,000"
Jimmy Neesham,Overseas,All-Rounder,"2,00,00,000"
Chris Lynn,Overseas,Batter,"2,00,00,000"
Jamie Overton,Overseas,All-Rounder,"2,00,00,000"
Craig Overton,Overseas,All-Rounder,"2,00,00,000"
Tymal Mills,Overseas,Bowler,"2,00,00,000"
Dawid Malan,Overseas,Batter,"1,50,00,000"
Sherfane Rutherford,Overseas,Batter,"1,50,00,000"
Riley Meredith,Overseas,Bowler,"1,50,00,000"
Jason Roy,Overseas,Batter,"1,50,00,000"
Sean Abbott,Overseas,All-Rounder,"1,50,00,000"
Nathan Coulter-Nile,Overseas,Bowler,"1,50,00,000"
Mujeeb Rahman,Overseas,Bowler,"1,00,00,000"
Tabraiz Shamsi,Overseas,Bowler,"1,00,00,000"
Daryl Mitchell,Overseas,All-Rounder,"1,00,00,000"
Mohammad Nabi,Overseas,All-Rounder,"1,00,00,000"
Shai Hope,Overseas,Wicket-Keeper,"1,00,00,000"
Tom Latham,Overseas,Wicket-Keeper,"1,00,00,000"
Michael Bracewell,Overseas,All-Rounder,"1,00,00,000"
Andrew Tye,Overseas,Bowler,"1,00,00,000"
Luke Wood,Overseas,Bowler,"1,00,00,000"
Moises Henriques,Overseas,All-Rounder,"1,00,00,000"
Matt Henry,Overseas,Bowler,"1,00,00,000"
Roston Chase,Overseas,All-Rounder,"1,00,00,000"
Rahkeem Cornwall,Overseas,All-Rounder,"1,00,00,000"
Wayne Parnell,Overseas,All-Rounder,"75,00,000"
Joshua Philippe,Overseas,Wicket-Keeper,"75,00,000"
Ish Sodhi,Overseas,Bowler,"75,00,000"
Tom Curran,Overseas,All-Rounder,"75,00,000"
Darcy Short,Overseas,All-Rounder,"75,00,000"
David Payne,Overseas,Bowler,"75,00,000"
Carlos Brathwaite,Overseas,All-Rounder,"75,00,000"
Kusal Mendis,Overseas,Wicket-Keeper,"50,00,000"
Paul Stirling,Overseas,Batter,"50,00,000"
Dasun Shanaka,Overseas,All-Rounder,"50,00,000"
Taskin Ahmed,Overseas,Bowler,"50,00,000"
Dushmanta Chameera,Overseas,Bowler,"50,00,000"
