StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings
Virat Kohli,2,237,,,,,,,RCB,Royal Challengers Bangalore,,19,,229,,7263,5586,,130.02,,,,,,,,,,643,234,643,234,195,34,37.25,50,7,,113,37.25,,
Shikhar Dhawan,11,217,,,,,,,PBKS,Punjab Kings,,15,,216,,6617,5203,,127.18,,,,,,,,,,750,148,750,148,187,29,35.39,50,2,,106*,35.39,,
David Warner,214,176,,,,,,,DC,Delhi Capitals,,14,,176,,6397,4572,,139.92,,,,,,,,,,646,226,646,226,154,22,41.54,60,4,,126,41.54,,
Rohit Sharma,6,243,,,,,,,MI,Mumbai Indians,,17,,238,,6211,4776,,130.05,,,,,,,,,,554,257,554,257,210,28,29.58,42,1,,109*,29.58,,
Suresh Raina,106,205,,,,,,,CSK,Chennai Super Kings,,,,200,,5528,4042,,136.76,,,,,,,,,,506,203,506,203,170,30,32.52,39,1,,100*,32.52,,
AB de Villiers,198,184,,,,,,,RCB,Royal Challengers Bangalore,,,,170,,5162,3403,,151.68,,,,,,,,,,413,251,413,251,130,40,39.70,40,3,,133*,39.70,,
MS Dhoni,57,250,,,,,,,CSK,Chennai Super Kings,,13,,218,,5082,3739,,135.92,,,,,,,,,,349,239,349,239,131,87,38.79,24,0,,84*,38.79,,
Chris Gayle,126,142,,,,,,,PBKS,Punjab Kings,,,,141,,4965,3333,,148.96,,,,,,,,,,405,357,405,357,125,16,39.72,31,6,,175*,39.72,,
Robin Uthappa,153,205,,,,,,,CSK,Chennai Super Kings,,13,,197,,4952,3799,,130.35,,,,,,,,,,481,182,481,182,180,17,27.51,27,0,,88,27.51,,
Dinesh Karthik,13,242,,,,,,,RCB,Royal Challengers Bangalore,,19,,221,,4516,3403,,132.71,,,,,,,,,,439,139,439,139,175,46,25.81,20,0,,97*,25.81,,
Ajinkya Rahane,44,172,,,,,,,CSK,Chennai Super Kings,,13,,159,,4400,3565,,123.42,,,,,,,,,,455,96,455,96,142,17,30.99,30,2,,105*,30.99,,
Ambati Rayudu,60,204,,,,,,,CSK,Chennai Super Kings,,13,,187,,4348,3409,,127.54,,,,,,,,,,359,173,359,173,154,33,28.23,22,1,,100*,28.23,,
Gautam Gambhir,0,154,,,,,,,DC,Delhi Capitals,,,,152,,4217,3404,,123.88,,,,,,,,,,492,59,492,59,136,16,31.00,36,0,,93,31.00,,
KL Rahul,19,118,,,,,,,LSG,Lucknow Super Giants,,77,,109,,4163,3097,,134.42,,,,,,,,,,355,168,355,168,89,20,46.78,33,4,,132*,46.78,,
Faf du Plessis,94,130,,,,,,,RCB,Royal Challengers Bangalore,,19,,123,,4133,3081,,134.14,,,,,,,,,,374,145,374,145,112,11,36.90,33,0,,96,36.90,,
Sanju Samson,190,152,,,,,,,RR,Rajasthan Royals,,18,,148,,3888,2834,,137.19,,,,,,,,,,304,182,304,182,133,15,29.23,20,3,,119,29.23,,
Shane Watson,104,145,,,,,,,CSK,Chennai Super Kings,,,,141,,3874,2809,,137.91,,,,,,,,,,376,190,376,190,125,16,30.99,21,4,,117*,30.99,,
Manish Pandey,16,170,,,,,,,DC,Delhi Capitals,,14,,158,,3808,3148,,120.97,,,,,,,,,,333,108,333,108,131,27,29.07,22,1,,114*,29.07,,
Kieron Pollard,166,189,,,,,,,MI,Mumbai Indians,,17,,171,,3412,2316,,147.32,,,,,,,,,,218,223,218,223,119,52,28.67,16,0,,87*,28.67,,
Suryakumar Yadav,174,139,,,,,,,MI,Mumbai Indians,,17,,123,,3249,2267,,143.32,,,,,,,,,,349,112,349,112,101,22,32.17,21,1,,103*,32.17,,
Jos Buttler,182,96,,,,,,,RR,Rajasthan Royals,,18,,95,,3223,2173,,148.32,,,,,,,,,,319,149,319,149,85,10,37.92,19,5,,124,37.92,,
Yusuf Pathan,226,174,,,,,,,SRH,Sunrisers Hyderabad,,,,154,,3204,2241,,142.97,,,,,,,,,,262,158,262,158,110,44,29.13,13,1,,100,29.13,,
Quinton de Kock,170,96,,,,,,,LSG,Lucknow Super Giants,,77,,96,,2907,2166,,134.21,,,,,,,,,,287,114,287,114,90,6,32.30,20,2,,140*,32.30,,
