BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Yuzvendra Chahal,,,RR,Rajasthan Royals,145,,144,18,10,,4056,1129,,,21.69,16.97,16.97,,,7.67,527,,,,56,42,,,,,187,,,,5/40,5/40,4,,6,1,,1
Dwayne Bravo,,,CSK,Chennai Super Kings,161,,158,13,93,,4359,1013,,,23.82,17.05,17.05,,,8.38,516,,,,148,71,,,,,183,,,,4/22,4/22,3,,2,0,,0
Piyush Chawla,,,MI,Mumbai Indians,181,,180,17,149,,4796,1272,,,26.79,20.34,20.34,,,7.91,605,,,,97,37,,,,,179,,,,4/17,4/17,2,,2,0,,0
Amit Mishra,,,LSG,Lucknow Super Giants,161,,161,77,107,,4129,1186,,,23.87,19.42,19.42,,,7.38,559,,,,39,11,,,,,173,,,,5/17,5/17,6,,4,1,,3
Ravichandran Ashwin,,,RR,Rajasthan Royals,197,,194,18,45,,4903,1477,,,28.67,24.53,24.53,,,7.01,698,,,,83,46,,,,,171,,,,4/34,4/34,4,,1,0,,0
Lasith Malinga,,,MI,Mumbai Indians,122,,122,,167,,3366,1155,,,19.80,16.63,16.63,,,7.14,471,,,,6,5,,,,,170,,,,5/13,5/13,8,,6,1,,0
Bhuvneshwar Kumar,,,SRH,Sunrisers Hyderabad,160,,160,20,15,,4396,1534,,,25.86,20.99,20.99,,,7.39,593,,,,104,26,,,,,170,,,,5/19,5/19,12,,2,2,,0
Sunil Narine,,,KKR,Kolkata Knight Riders,162,,161,16,156,,4203,1478,,,25.79,22.98,22.98,,,6.73,624,,,,144,84,,,,,163,,,,5/19,5/19,3,,7,1,,1
Ravindra Jadeja,,,CSK,Chennai Super Kings,226,,197,13,46,,4495,1159,,,29.57,23.34,23.34,,,7.60,589,,,,213,116,,,,,152,,,,5/16,5/16,2,,3,1,,0
Harbhajan Singh,,,KKR,Kolkata Knight Riders,163,,160,,95,,4030,1268,,,26.87,22.77,22.77,,,7.08,569,,,,79,42,,,,,150,,,,5/18,5/18,6,,1,1,,0
