CompetitionID,MatchID,MatchTypeID,MatchType,MatchStatus,MatchDate,MatchDateNew,MatchName,MatchTime,GMTMatchTime,GMTMatchDate,FirstBattingTeamID,FirstBattingTeamName,SecondBattingTeamID,SecondBattingTeamName,FirstBattingTeamCode,SecondBattingTeamCode,GroundID,GroundName,Commentss,TossTeam,TossDetails,TossText,Flag,FirstBattingSummary,SecondBattingSummary,ClientMatchID,MATCH_COMMENCE_START_DATE,city,FlickrAlbumID,LiveStream,FBURL,T20ProMatchID,Temperature,WeatherIcon,TempUpdatedDate,GroundUmpire1ID,GroundUmpire2ID,GroundUmpire3ID,RefereeID,HomeTeamID,HomeTeamName,HomeTeamColor1,HomeTeamColor2,AwayTeamColor1,AwayTeamColor2,AwayTeamID,AwayTeamName,timezone1,MatchEndDate,MatchEndTime,MATCH_NO_OF_OVERS,ROUND_ID,MatchTypeName,RowNo,CompetitionName,GroundUmpire1,GroundUmpire2,ThirdUmpire,Comments,HomeTeamLogo,AwayTeamLogo,MatchHomeTeamLogo,MatchAwayTeamLogo,VideoScorecard,TimeZone,CurrentStrikerID,CurrentStrikerName,StrikerRuns,StrikerBalls,StrikerFours,StrikerSixes,StrikerSR,StrikerImage,CurrentNonStrikerID,CurrentNonStrikerName,NonStrikerRuns,NonStrikerBalls,NonStrikerFours,NonStrikerSixes,NonStrikerSR,NonStrikerImage,CurrentBowlerID,CurrentBowlerName,BowlerOvers,BowlerRuns,BowlerMaidens,BowlerWickets,BowlerEconomy,BowlerSR,BowlerImage,ChasingText,MatchBreakComments,MatchProgress,CurrentInnings,1Summary,1FallScore,1FallWickets,1FallOvers,1RunRate,2Summary,2FallScore,2FallWickets,2FallOvers,2RunRate,3Summary,3FallScore,3FallWickets,3FallOvers,3RunRate,4Summary,4FallScore,4FallWickets,4FallOvers,4RunRate,5Summary,5FallScore,5FallWickets,5FallOvers,5RunRate,6Summary,6FallScore,6FallWickets,6FallOvers,6RunRate,DivisionID,SecondInningsFirstBattingID,SecondInningsFirstBattingName,SecondInningsSecondBattingID,SecondInningsSecondBattingName,ThirdInningsFirstBattingID,ThirdInningsFirstBattingName,ThirdInningsSecondBattingID,ThirdInningsSecondBattingName,WinningTeamID,MatchOrder,RevisedOver,RevisedTarget,MatchRow,ProjectedScore,2ndProjectedScore,3rdProjectedScore
60,531,8,T20 (N),Post,2022-05-29,29 May 2022,Gujarat Titans VS Rajasthan Royals,20:00,14:30 GMT,2022-05-29,18,Rajasthan Royals,35,Gujarat Titans,RR,GT,55,Narendra Modi Stadium,Gujarat Titans Won by 7  Wickets (Winners),Rajasthan Royals,Rajasthan Royals won the Toss and elected to bat, won the Toss and elected to bat,1,130/9 (20.0 Ov),133/3 (18.1 Ov),,2022-05-29T20:00:00,Ahmedabad,,,,,,,,42,29,159,86,35,Gujarat Titans,#319490,#df7317,#319490,#df7317,18,Rajasthan Royals,Asia/Kolkata,29 May 2022,23:30,20,1,T20,74.0,IPL 2022,Nitin Menon,Chris Gaffaney,KN Ananthapadmanabhan,Gujarat Titans Won by 7  Wickets (Winners),https://scores.iplt20.com/ipl/teamlogos/RR.png,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,https://scores.iplt20.com/ipl/teamlogos/RR.png,0,+9.5,2019-100mb00000000062-8fa4884a17f311,Shubman Gill,45,43,3,1,104.65,https://scores.iplt20.com/ipl/playerimages/62-small.png,2019-100mb00000000128-e95bebea449911,David Miller,32,19,3,1,168.42,https://scores.iplt20.com/ipl/playerimages/128-small.png?v=1,2021-100mb00000000645-1b97133f2fe811,Obed McCoy,3.1,26,0,0,8.21,0.0,https://scores.iplt20.com/ipl/playerimages/645-small.png?v=2,,,,2,130/9 (20.0 Overs),130,9,20.0,6.5,133/3 (18.1 Overs),133,3,18.1,7.32,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,35,Final,,,74.0,146,0.0,0.0
60,530,8,T20 (N),Post,2022-05-27,27 May 2022,Rajasthan Royals VS Royal Challengers Bangalore,19:30,14:00 GMT,2022-05-27,19,Royal Challengers Bangalore,18,Rajasthan Royals,RCB,RR,55,Narendra Modi Stadium,Rajasthan Royals Won by 7 Wickets (Qualified),Rajasthan Royals,Rajasthan Royals won the Toss and elected to Field, won the Toss and elected to Field,1,157/8 (20.0 Ov),161/3 (18.1 Ov),,2022-05-27T19:30:00,Ahmedabad,,,,,,,,29,42,44,86,18,Rajasthan Royals,#319490,#df7317,#319490,#df7317,19,Royal Challengers Bangalore,Asia/Kolkata,27 May 2022,23:30,20,1,T20,73.0,IPL 2022,Chris Gaffaney,Nitin Menon,Anil Chaudhary,Rajasthan Royals Won by 7 Wickets (Qualified),https://scores.iplt20.com/ipl/teamlogos/RCB.png,https://scores.iplt20.com/ipl/teamlogos/RR.png,https://scores.iplt20.com/ipl/teamlogos/RR.png,https://scores.iplt20.com/ipl/teamlogos/RCB.png,0,+9.5,2019-100mb00000000182-b78f12ef44b611,Jos Buttler,106,60,10,6,176.66,https://scores.iplt20.com/ipl/playerimages/182-small.png,2019-100mb00000000210-b8addb3444bb11,Shimron Hetmyer,2,3,0,0,66.66,https://scores.iplt20.com/ipl/playerimages/210-small.png,2019-100mb00000000114-8c98068c449611,Harshal Patel,3.1,29,0,0,9.16,0.0,https://scores.iplt20.com/ipl/playerimages/114-small.png,,,,2,157/8 (20.0 Overs),157,8,20.0,7.85,161/3 (18.1 Overs),161,3,18.1,8.86,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,18,Qualifier 2,,,73.0,177,0.0,0.0
60,529,8,T20 (N),Post,2022-05-25,25 May 2022,Lucknow Super Giants VS Royal Challengers Bangalore,19:30,14:00 GMT,2022-05-25,19,Royal Challengers Bangalore,77,Lucknow Super Giants,RCB,LSG,19,Eden Gardens,Royal Challengers Bangalore Won by 14 Runs (Qualified),Lucknow Super Giants,Lucknow Super Giants won the Toss and elected to Field, won the Toss and elected to Field,0,207/4 (20.0 Ov),193/6 (20.0 Ov),,2022-05-25T19:30:00,Kolkata,,,,,,,,34,221,352,88,77,Lucknow Super Giants,#319490,#df7317,#319490,#df7317,19,Royal Challengers Bangalore,Asia/Kolkata,25 May 2022,23:30,20,1,T20,72.0,IPL 2022,Michael Gough,Madanagopal Jayaraman,Bruce Oxenford,Royal Challengers Bangalore Won by 14 Runs (Qualified),https://scores.iplt20.com/ipl/teamlogos/RCB.png,https://scores.iplt20.com/ipl/teamlogos/LSG.png,https://scores.iplt20.com/ipl/teamlogos/LSG.png,https://scores.iplt20.com/ipl/teamlogos/RCB.png,0,+9.5,2019-100mb00000000163-6fc87ad344ad11,Evin Lewis,2,6,0,0,33.33,https://scores.iplt20.com/ipl/playerimages/163-small.png,2021-100mb00000000608-14fdf8c4e64711,Dushmantha Chameera,11,4,1,1,275.0,https://scores.iplt20.com/ipl/playerimages/608-small.png,2019-100mb00000000114-8c98068c449611,Harshal Patel,4.0,25,0,1,6.25,24.0,https://scores.iplt20.com/ipl/playerimages/114-small.png,,,,2,207/4 (20.0 Overs),207,4,20.0,10.35,193/6 (20.0 Overs),193,6,20.0,9.65,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,19,Eliminator,,,72.0,193,0.0,0.0
60,528,8,T20 (N),Post,2022-05-24,24 May 2022,Gujarat Titans VS Rajasthan Royals,19:30,14:00 GMT,2022-05-24,18,Rajasthan Royals,35,Gujarat Titans,RR,GT,19,Eden Gardens,Gujarat Titans Won by 7  Wickets (Qualified),Gujarat Titans,Gujarat Titans won the Toss and elected to Field, won the Toss and elected to Field,1,188/6 (20.0 Ov),191/3 (19.3 Ov),,2022-05-24T19:30:00,Kolkata,,,,,,,,352,87,34,88,35,Gujarat Titans,#319490,#df7317,#319490,#df7317,18,Rajasthan Royals,Asia/Kolkata,24 May 2022,23:30,20,1,T20,71.0,IPL 2022,Bruce Oxenford,Virender Kumar Sharma,Michael Gough,Gujarat Titans Won by 7  Wickets (Qualified),https://scores.iplt20.com/ipl/teamlogos/RR.png,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,https://scores.iplt20.com/ipl/teamlogos/RR.png,0,+9.5,2019-100mb00000000128-e95bebea449911,David Miller,68,38,3,5,178.94,https://scores.iplt20.com/ipl/playerimages/128-small.png?v=1,2018-100mb00000000054-e3ebefa2050a11,Hardik Pandya,40,27,5,0,148.14,https://scores.iplt20.com/ipl/playerimages/54-small.png,2019-100mb00000000150-3a51ee2844a911,Prasidh Krishna,3.3,40,0,0,11.43,0.0,https://scores.iplt20.com/ipl/playerimages/150-small.png,,,,2,188/6 (20.0 Overs),188,6,20.0,9.4,191/3 (19.3 Overs),191,3,19.3,9.79,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,35,Qualifier 1,,,71.0,195,0.0,0.0
60,525,8,T20 (N),Post,2022-05-22,22 May 2022,Sunrisers Hyderabad VS Punjab Kings,19:30,14:00 GMT,2022-05-22,20,Sunrisers Hyderabad,15,Punjab Kings,SRH,PBKS,21,Wankhede Stadium,Punjab Kings Won by 5  Wickets ,Sunrisers Hyderabad,Sunrisers Hyderabad won the Toss and elected to bat, won the Toss and elected to bat,1,157/8 (20.0 Ov),160/5 (15.1 Ov),,2022-05-22T19:30:00,Mumbai,,,,,,,,44,95,29,86,20,Sunrisers Hyderabad,#319490,#df7317,#319490,#df7317,15,Punjab Kings,Asia/Kolkata,22 May 2022,23:30,20,0,T20,70.0,IPL 2022,Anil Chaudhary,Nikhil Patwardhan,Chris Gaffaney,Punjab Kings Won by 5  Wickets ,https://scores.iplt20.com/ipl/teamlogos/SRH.png,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,https://scores.iplt20.com/ipl/teamlogos/SRH.png,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,0,+9.5,2022-100mb00000000998-77ac17e3a44d11,Prerak Mankad,4,1,1,0,400.0,https://scores.iplt20.com/ipl/playerimages/998-small.png,2019-100mb00000000183-f4a991db44b611,Liam Livingstone,49,22,2,5,222.72,https://scores.iplt20.com/ipl/playerimages/183-small.png,2021-100mb00000000637-4e1434ea244f11,Umran Malik,2.1,24,0,1,11.08,13.0,https://scores.iplt20.com/ipl/playerimages/637-small.png,,,,2,157/8 (20.0 Overs),157,8,20.0,7.85,160/5 (15.1 Overs),160,5,15.1,10.55,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,15,70th  T20I,,,70.0,211,0.0,0.0
60,524,8,T20 (N),Post,2022-05-21,21 May 2022,Mumbai Indians VS Delhi Capitals,19:30,14:00 GMT,2022-05-21,14,Delhi Capitals,17,Mumbai Indians,DC,MI,21,Wankhede Stadium,Mumbai Indians Won by 5  Wickets ,Mumbai Indians,Mumbai Indians won the Toss and elected to Field, won the Toss and elected to Field,1,159/7 (20.0 Ov),160/5 (19.1 Ov),,2022-05-21T19:30:00,Mumbai,,,,,,,,42,363,472,86,17,Mumbai Indians,#319490,#df7317,#319490,#df7317,14,Delhi Capitals,Asia/Kolkata,21 May 2022,23:30,20,0,T20,69.0,IPL 2022,Nitin Menon,Tapan Balwant Sharma,Saiyed Khalid,Mumbai Indians Won by 5  Wickets ,https://scores.iplt20.com/ipl/teamlogos/DC.png,https://scores.iplt20.com/ipl/teamlogos/MI.png,https://scores.iplt20.com/ipl/teamlogos/MI.png,https://scores.iplt20.com/ipl/teamlogos/DC.png,0,+9.5,2022-100mb00000000991-d9fbad51a44b11,Ramandeep Singh,13,6,2,0,216.66,https://scores.iplt20.com/ipl/playerimages/991-small.png?v=1,2020-100mb00000000546-b254fce3f9ac11,Daniel Sams,0,1,0,0,0.0,https://scores.iplt20.com/ipl/playerimages/546-small.png?v=1,2018-100mb00000000008-787fc4ece99b11,Khaleel Ahmed,3.1,24,0,0,7.58,0.0,https://scores.iplt20.com/ipl/playerimages/8-small.png,,,,2,159/7 (20.0 Overs),159,7,20.0,7.95,160/5 (19.1 Overs),160,5,19.1,8.35,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,17,69th  T20I,,,69.0,167,0.0,0.0
60,523,8,T20 (N),Post,2022-05-20,20 May 2022,Rajasthan Royals VS Chennai Super Kings,19:30,14:00 GMT,2022-05-20,13,Chennai Super Kings,18,Rajasthan Royals,CSK,RR,68,Brabourne - CCI,Rajasthan Royals Won by 5  Wickets ,Chennai Super Kings,Chennai Super Kings won the Toss and elected to bat, won the Toss and elected to bat,1,150/6 (20.0 Ov),151/5 (19.4 Ov),,2022-05-20T19:30:00,Mumbai,,,,,,,,29,95,354,88,18,Rajasthan Royals,#319490,#df7317,#319490,#df7317,13,Chennai Super Kings,Asia/Kolkata,20 May 2022,23:30,20,0,T20,68.0,IPL 2022,Chris Gaffaney,Nikhil Patwardhan,Yeshwant Barde,Rajasthan Royals Won by 5  Wickets ,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/teamlogos/RR.png,https://scores.iplt20.com/ipl/teamlogos/RR.png,https://scores.iplt20.com/ipl/teamlogos/CSK.png,0,+9.5,2019-100mb00000000189-ac8c327a44b711,Riyan Parag,10,10,1,0,100.0,https://scores.iplt20.com/ipl/playerimages/189-small.png,2018-100mb00000000045-f658f1b6f88a11,Ravichandran Ashwin,40,23,2,3,173.91,https://scores.iplt20.com/ipl/playerimages/45-small.png,2022-100mb00000001014-1f0cfb3dc17911,Matheesha Pathirana,3.4,28,0,0,7.64,0.0,https://scores.iplt20.com/ipl/playerimages/1014-small.png?v=2,,,,2,150/6 (20.0 Overs),150,6,20.0,7.5,151/5 (19.4 Overs),151,5,19.4,7.68,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,18,68th  T20I,,,68.0,153,0.0,0.0
60,522,8,T20 (N),Post,2022-05-19,19 May 2022,Royal Challengers Bangalore VS Gujarat Titans,19:30,14:00 GMT,2022-05-19,35,Gujarat Titans,19,Royal Challengers Bangalore,GT,RCB,21,Wankhede Stadium,Royal Challengers Bangalore Won by 8  Wickets ,Gujarat Titans,Gujarat Titans won the Toss and elected to bat, won the Toss and elected to bat,1,168/5 (20.0 Ov),170/2 (18.4 Ov),,2022-05-19T19:30:00,Mumbai,,,,,,,,159,398,129,86,19,Royal Challengers Bangalore,#319490,#df7317,#319490,#df7317,35,Gujarat Titans,Asia/Kolkata,19 May 2022,23:30,20,0,T20,67.0,IPL 2022,KN Ananthapadmanabhan,Sadashiv Iyer,Navdeep Singh,Royal Challengers Bangalore Won by 8  Wickets ,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,https://scores.iplt20.com/ipl/teamlogos/RCB.png,https://scores.iplt20.com/ipl/teamlogos/RCB.png,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,0,+9.5,2018-100mb00000000028-acc7d0a3e99d11,Glenn Maxwell,40,18,5,2,222.22,https://scores.iplt20.com/ipl/playerimages/28-small.png?v=2,2018-100mb00000000013-1031ba8ae99c11,Dinesh Karthik,2,2,0,0,100.0,https://scores.iplt20.com/ipl/playerimages/13-small.png?v=1,2019-100mb00000000069-7aeb5c411e3711,Lockie Ferguson,1.4,21,0,0,12.6,0.0,https://scores.iplt20.com/ipl/playerimages/69-small.png,,,,2,168/5 (20.0 Overs),168,5,20.0,8.4,170/2 (18.4 Overs),170,2,18.4,9.11,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,19,67th  T20I,,,67.0,182,0.0,0.0
60,521,8,T20 (N),Post,2022-05-18,18 May 2022,Kolkata Knight Riders VS Lucknow Super Giants,19:30,14:00 GMT,2022-05-18,77,Lucknow Super Giants,16,Kolkata Knight Riders,LSG,KKR,69,DY Patil Stadium,Lucknow Super Giants Won by 2 Runs ,Lucknow Super Giants,Lucknow Super Giants won the Toss and elected to bat, won the Toss and elected to bat,1,210/0 (20.0 Ov),208/8 (20.0 Ov),,2022-05-18T19:30:00,NAVI MUMBAI,,,,,,,,354,261,352,88,16,Kolkata Knight Riders,#319490,#df7317,#319490,#df7317,77,Lucknow Super Giants,Asia/Kolkata,18 May 2022,23:30,20,0,T20,66.0,IPL 2022,Yeshwant Barde,Rohan Pandit,Bruce Oxenford,Lucknow Super Giants Won by 2 Runs ,https://scores.iplt20.com/ipl/teamlogos/LSG.png,https://scores.iplt20.com/ipl/teamlogos/KKR.png,https://scores.iplt20.com/ipl/teamlogos/KKR.png,https://scores.iplt20.com/ipl/teamlogos/LSG.png,0,+9.5,2018-100mb00000000021-a294dad8e99c11,Umesh Yadav,0,1,0,0,0.0,https://scores.iplt20.com/ipl/playerimages/21-small.png,2019-100mb00000000156-a6b6f42c44aa11,Sunil Narine,21,7,0,3,300.0,https://scores.iplt20.com/ipl/playerimages/156-small.png,2018-100mb00000000023-201fd633e99d11,Marcus Stoinis,2.0,23,0,3,11.5,4.0,https://scores.iplt20.com/ipl/playerimages/23-small.png?v=2,,,,2,210/0 (20.0 Overs),210,0,20.0,10.5,208/8 (20.0 Overs),208,8,20.0,10.4,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,77,66th  T20I,,,66.0,208,0.0,0.0
60,520,8,T20 (N),Post,2022-05-17,17 May 2022,Mumbai Indians VS Sunrisers Hyderabad,19:30,14:00 GMT,2022-05-17,20,Sunrisers Hyderabad,17,Mumbai Indians,SRH,MI,21,Wankhede Stadium,Sunrisers Hyderabad Won by 3  Runs ,Mumbai Indians,Mumbai Indians won the Toss and elected to Field, won the Toss and elected to Field,1,193/6 (20.0 Ov),190/7 (20.0 Ov),,2022-05-17T19:30:00,Mumbai,,,,,,,,29,63,129,86,17,Mumbai Indians,#319490,#df7317,#319490,#df7317,20,Sunrisers Hyderabad,Asia/Kolkata,17 May 2022,23:30,20,0,T20,65.0,IPL 2022,Chris Gaffaney,Nitin Pandit,Navdeep Singh,Sunrisers Hyderabad Won by 3  Runs ,https://scores.iplt20.com/ipl/teamlogos/SRH.png,https://scores.iplt20.com/ipl/teamlogos/MI.png,https://scores.iplt20.com/ipl/teamlogos/MI.png,https://scores.iplt20.com/ipl/teamlogos/SRH.png,0,+9.5,2022-100mb00000000991-d9fbad51a44b11,Ramandeep Singh,14,6,1,1,233.33,https://scores.iplt20.com/ipl/playerimages/991-small.png?v=1,2018-100mb00000000009-92bfdfe9e99b11,Jasprit Bumrah,0,4,0,0,0.0,https://scores.iplt20.com/ipl/playerimages/9-small.png?v=1,2022-100mb00000001011-d957ea18a45111,Fazalhaq Farooqi,4.0,31,0,0,7.75,0.0,https://scores.iplt20.com/ipl/playerimages/1011-small.png,,,,2,193/6 (20.0 Overs),193,6,20.0,9.65,190/7 (20.0 Overs),190,7,20.0,9.5,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,20,65th  T20I,,,65.0,190,0.0,0.0
