CompetitionID,MatchID,MatchTypeID,MatchType,MatchStatus,MatchDate,MatchDateNew,MatchName,MatchTime,GMTMatchTime,GMTMatchDate,FirstBattingTeamID,FirstBattingTeamName,SecondBattingTeamID,SecondBattingTeamName,FirstBattingTeamCode,SecondBattingTeamCode,GroundID,GroundName,Commentss,TossTeam,TossDetails,TossText,Flag,FirstBattingSummary,SecondBattingSummary,ClientMatchID,MATCH_COMMENCE_START_DATE,city,FlickrAlbumID,LiveStream,FBURL,T20ProMatchID,Temperature,WeatherIcon,TempUpdatedDate,GroundUmpire1ID,GroundUmpire2ID,GroundUmpire3ID,RefereeID,HomeTeamID,HomeTeamName,HomeTeamColor1,HomeTeamColor2,AwayTeamColor1,AwayTeamColor2,AwayTeamID,AwayTeamName,timezone1,MatchEndDate,MatchEndTime,MATCH_NO_OF_OVERS,ROUND_ID,MatchTypeName,RowNo,TeamType,CompetitionName,GroundUmpire1,GroundUmpire2,ThirdUmpire,Comments,HomeTeamLogo,AwayTeamLogo,MatchHomeTeamLogo,MatchAwayTeamLogo,VideoScorecard,TimeZone,CurrentStrikerID,CurrentStrikerName,StrikerRuns,StrikerBalls,StrikerFours,StrikerSixes,StrikerSR,StrikerImage,CurrentNonStrikerID,CurrentNonStrikerName,NonStrikerRuns,NonStrikerBalls,NonStrikerFours,NonStrikerSixes,NonStrikerSR,NonStrikerImage,CurrentBowlerID,CurrentBowlerName,BowlerOvers,BowlerRuns,BowlerMaidens,BowlerWickets,BowlerEconomy,BowlerSR,BowlerImage,ChasingText,MatchBreakComments,MatchProgress,CurrentInnings,1Summary,1FallScore,1FallWickets,1FallOvers,1RunRate,2Summary,2FallScore,2FallWickets,2FallOvers,2RunRate,3Summary,3FallScore,3FallWickets,3FallOvers,3RunRate,4Summary,4FallScore,4FallWickets,4FallOvers,4RunRate,5Summary,5FallScore,5FallWickets,5FallOvers,5RunRate,6Summary,6FallScore,6FallWickets,6FallOvers,6RunRate,DivisionID,SecondInningsFirstBattingID,SecondInningsFirstBattingName,SecondInningsSecondBattingID,SecondInningsSecondBattingName,ThirdInningsFirstBattingID,ThirdInningsFirstBattingName,ThirdInningsSecondBattingID,ThirdInningsSecondBattingName,WinningTeamID,MatchOrder,RevisedOver,RevisedTarget,MatchRow,ProjectedScore,2ndProjectedScore,3rdProjectedScore,MOM,MOM_TYPE,MOMPlayerId,MOMRuns,MOMBalls,MOMWicket,MOMRC,MOMImage
107,1046,8,T20 (N),Post,2023-05-29,29 May 2023,Chennai Super Kings VS Gujarat Titans,19:30,14:00 GMT,2023-05-29,35,Gujarat Titans,13,Chennai Super Kings,GT,CSK,55,Narendra Modi Stadium,Chennai Super Kings Won by 5   Wickets   (D/L Method) (Winners),Chennai Super Kings,Chennai Super Kings won the Toss and elected to Field, won the Toss and elected to Field,1,214/4 (20.0 Ov),171/5 (15.0 Ov),,2023-05-29 19:30:00,Ahmedabad,,,,,,,,42,299,159,86,13,Chennai Super Kings,#319490,#df7317,#319490,#df7317,35,Gujarat Titans,Asia/Kolkata,30 May 2023,23:30,20,11,T20,74,,TATA IPL 2023,Nitin Menon,Rod Tucker,KN Ananthapadmanabhan,Chennai Super Kings Won by 5   Wickets   (D/L Method) (Winners),https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,0,+9.5,2018-100mb00000000046-06b5ba89f88b11,Ravindra Jadeja,15,6,1,1,250,https://scores.iplt20.com/ipl/playerimages/Q7BIUOYZle168026798346.png,2019-100mb00000000211-dc1f6a2544bb11,Shivam Dube,32,21,0,2,152.38,https://scores.iplt20.com/ipl/playerimages/iPo5Y1hhT41680267919211.png,2019-100mb00000000100-f196053e43f611,Mohit Sharma,3.0,36,0,3,12,6,https://scores.iplt20.com/ipl/playerimages/kK8ioNpsNe1680264330100.png,,,,2,214/4 (20.0 Overs),214,4,20.0,10.7,171/5 (15.0 Overs),171,5,15.0,11.4,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,13,Final,15,171,74,171,0,0,Devon Conway,Batting,601,47,25,-,-,https://scores.bcci.tv/matchcentre/playerimages/lmz68P2bXn1680268161601.png
107,1045,8,T20 (N),Post,2023-05-26,26 May 2023,Gujarat Titans VS Mumbai Indians,19:30,14:00 GMT,2023-05-26,35,Gujarat Titans,17,Mumbai Indians,GT,MI,55,Narendra Modi Stadium,Gujarat Titans Won by 62  Runs (Qualified),Mumbai Indians,Mumbai Indians won the Toss and elected to Field, won the Toss and elected to Field,0,233/3 (20.0 Ov),171/10 (18.2 Ov),,2023-05-26 19:30:00,Ahmedabad,,,,,,,,299,42,221,86,35,Gujarat Titans,#319490,#df7317,#319490,#df7317,17,Mumbai Indians,Asia/Kolkata,26 May 2023,23:30,20,35,T20,73,,TATA IPL 2023,Rod Tucker,Nitin Menon,Madanagopal Jayaraman,Gujarat Titans Won by 62  Runs (Qualified),https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,https://scores.iplt20.com/ipl/teamlogos/MI.png,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,https://scores.iplt20.com/ipl/teamlogos/MI.png,0,+9.5,2018-100mb00000000054-e3ebefa2050a11,Hardik Pandya,28,13,2,2,215.38,https://scores.iplt20.com/ipl/playerimages/3oCeGjfNC1168026418154.png,2019-100mb00000000218-42d9d6f544bf11,Rashid Khan,5,2,1,0,250,https://scores.iplt20.com/ipl/playerimages/hlbmqKagm21680264676218.png,2020-100mb00000000519-a0440d96638711,Chris Jordan,4.0,56,0,0,14,0,https://scores.iplt20.com/ipl/playerimages/BtZcSbe0si1657192905519.png,,,,2,233/3 (20.0 Overs),233,3,20.0,11.65,171/10 (18.2 Overs),171,10,18.2,9.33,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,35,Qualifier 2,,,73,186,0,0,Shubman Gill,Batting,62,129,59,-,-,https://scores.bcci.tv/matchcentre/playerimages/rXqCb2fICe168026415762.png
107,1044,8,T20 (N),Post,2023-05-24,24 May 2023,Lucknow Super Giants VS Mumbai Indians,19:30,14:00 GMT,2023-05-24,17,Mumbai Indians,77,Lucknow Super Giants,MI,LSG,18,MA Chidambaram Stadium,Mumbai Indians Won by 81  Runs (Qualified),Mumbai Indians,Mumbai Indians won the Toss and elected to bat, won the Toss and elected to bat,0,182/8 (20.0 Ov),101/10 (16.3 Ov),,2023-05-24 19:30:00,Chennai,,,,,,,,352,87,29,87,77,Lucknow Super Giants,#319490,#df7317,#319490,#df7317,17,Mumbai Indians,Asia/Kolkata,24 May 2023,23:30,20,36,T20,72,,TATA IPL 2023,Bruce Oxenford,Virender Kumar Sharma,Chris Gaffaney,Mumbai Indians Won by 81  Runs (Qualified),https://scores.iplt20.com/ipl/teamlogos/MI.png,https://scores.iplt20.com/ipl/teamlogos/ADAMetmKk61682948573LSG.png,https://scores.iplt20.com/ipl/teamlogos/ADAMetmKk61682948573LSG.png,https://scores.iplt20.com/ipl/teamlogos/MI.png,0,+9.5,2020-100mb00000000541-c84d8371639b11,Mohsin Khan,0,7,0,0,0,https://scores.iplt20.com/ipl/playerimages/qTOAHt3BLP1680327166541.png,2021-100mb00000000639-cf9c67ec2fe411,Naveen-ul-Haq,1,5,0,0,20,https://scores.iplt20.com/ipl/playerimages/wok17m5NZn1680327181639.png,2022-100mb00000001045-ff63138dd51a11,Akash Madhwal,3.3,5,0,5,1.43,4.2,https://scores.iplt20.com/ipl/playerimages/MqF5io0DDi16804268431045.png,,,,2,182/8 (20.0 Overs),182,8,20.0,9.1,101/10 (16.3 Overs),101,10,16.3,6.12,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,17,Eliminator,,,72,122,0,0,Akash Madhwal,Bowling,1045,-,-,5,5,https://scores.bcci.tv/matchcentre/playerimages/MqF5io0DDi16804268431045.png
107,1043,8,T20 (N),Post,2023-05-23,23 May 2023,Gujarat Titans VS Chennai Super Kings,19:30,14:00 GMT,2023-05-23,13,Chennai Super Kings,35,Gujarat Titans,CSK,GT,18,MA Chidambaram Stadium,Chennai Super Kings Won by 15   Runs (Qualified),Gujarat Titans,Gujarat Titans won the Toss and elected to Field, won the Toss and elected to Field,0,172/7 (20.0 Ov),157/10 (20.0 Ov),,2023-05-23 19:30:00,Chennai,,,,,,,,29,44,352,88,35,Gujarat Titans,#319490,#df7317,#319490,#df7317,13,Chennai Super Kings,Asia/Kolkata,23 May 2023,23:30,20,34,T20,71,,TATA IPL 2023,Chris Gaffaney,Anil Chaudhary,Bruce Oxenford,Chennai Super Kings Won by 15   Runs (Qualified),https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,https://scores.iplt20.com/ipl/teamlogos/CSK.png,0,+9.5,2018-100mb00000000047-1bfc8ff2f88b11,Mohammad Shami,5,5,1,0,100,https://scores.iplt20.com/ipl/playerimages/9LwuESEMuW168026484747.png,2022-100mb00000000975-56f6385ba44611,Noor Ahmad,7,5,1,0,140,https://scores.iplt20.com/ipl/playerimages/4rObUG9DAR1680264379975.png,2022-100mb00000001014-1f0cfb3dc17911,Matheesha Pathirana,4.0,37,0,2,9.25,12,https://scores.iplt20.com/ipl/playerimages/SyXZJbyRXY16802677491014.png,,,,2,172/7 (20.0 Overs),172,7,20.0,8.6,157/10 (20.0 Overs),157,10,20.0,7.85,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,13,Qualifier 1,,,71,157,0,0,Ruturaj Gaikwad,Batting,102,60,43,-,-,https://scores.bcci.tv/matchcentre/playerimages/D3FUWsAEla1680267769102.png
107,925,8,T20 (N),Post,2023-05-21,21 May 2023,Royal Challengers Bangalore VS Gujarat Titans,19:30,14:00 GMT,2023-05-21,19,Royal Challengers Bangalore,35,Gujarat Titans,RCB,GT,12,M Chinnaswamy Stadium,Gujarat Titans Won by 6  Wickets ,Gujarat Titans,Gujarat Titans won the Toss and elected to Field, won the Toss and elected to Field,0,197/5 (20.0 Ov),198/4 (19.1 Ov),,2023-05-21 19:30:00,Bengaluru,,,,,,,,42,87,363,86,19,Royal Challengers Bangalore,#319490,#df7317,#319490,#df7317,35,Gujarat Titans,Asia/Kolkata,21 May 2023,23:00,20,0,T20,70,,TATA IPL 2023,Nitin Menon,Virender Kumar Sharma,Tapan Balwant Sharma,Gujarat Titans Won by 6  Wickets ,https://scores.iplt20.com/ipl/teamlogos/RCB.png,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,https://scores.iplt20.com/ipl/teamlogos/RCB.png,https://scores.iplt20.com/ipl/teamlogos/GT.png?v=1,0,+9.5,2019-100mb00000000062-8fa4884a17f311,Shubman Gill,104,52,5,8,200,https://scores.iplt20.com/ipl/playerimages/rXqCb2fICe168026415762.png,2019-100mb00000000120-7489ddcc449711,Rahul Tewatia,4,5,0,0,80,https://scores.iplt20.com/ipl/playerimages/2iFzSVEuIF1680265334120.png,2022-100mb00000000829-e8883032782a11,Wayne Parnell,3.1,42,0,0,13.26,0,https://scores.iplt20.com/ipl/playerimages/TRHbCsGUny1664347849829.png,,,,2,197/5 (20.0 Overs),197,5,20.0,9.85,198/4 (19.1 Overs),198,4,19.1,10.33,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,35,Match 70,,,70,206,0,0,Shubman Gill,Batting,62,104,51,-,-,https://scores.bcci.tv/matchcentre/playerimages/rXqCb2fICe168026415762.png
107,924,5,T20 D/N,Post,2023-05-21,21 May 2023,Mumbai Indians VS Sunrisers Hyderabad,15:30,10:00 GMT,2023-05-21,20,Sunrisers Hyderabad,17,Mumbai Indians,SRH,MI,21,Wankhede Stadium,Mumbai Indians Won by 8  Wickets ,Mumbai Indians,Mumbai Indians won the Toss and elected to Field, won the Toss and elected to Field,1,200/5 (20.0 Ov),201/2 (18.0 Ov),,2023-05-21 15:30:00,Mumbai,,,,,,,,299,159,261,163,17,Mumbai Indians,#319490,#df7317,#319490,#df7317,20,Sunrisers Hyderabad,Asia/Kolkata,21 May 2023,23:00,20,0,T20,69,,TATA IPL 2023,Rod Tucker,KN Ananthapadmanabhan,Rohan Pandit,Mumbai Indians Won by 8  Wickets ,https://scores.iplt20.com/ipl/teamlogos/SRH.png,https://scores.iplt20.com/ipl/teamlogos/MI.png,https://scores.iplt20.com/ipl/teamlogos/MI.png,https://scores.iplt20.com/ipl/teamlogos/SRH.png,0,+9.5,2020-100mb00000000550-247665a42ff311,Cameron Green,100,47,8,8,212.76,https://scores.iplt20.com/ipl/playerimages/PpKV5hMzrF1680426776550.png,2019-100mb00000000174-619a804244af11,Suryakumar Yadav,25,16,4,0,156.25,https://scores.iplt20.com/ipl/playerimages/MxrRfEZPWX1680426976174.png,2018-100mb00000000015-3501d442e99c11,Bhuvneshwar Kumar,4.0,26,0,1,6.5,24,https://scores.iplt20.com/ipl/playerimages/cq5ovAP7E0168042577215.png,,,95.00,2,200/5 (20.0 Overs),200,5,20.0,10,201/2 (18.0 Overs),201,2,18.0,11.17,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,17,Match 69,,,69,223,0,0,Cameron Green,Batting,550,100,45,0,2,https://scores.bcci.tv/matchcentre/playerimages/PpKV5hMzrF1680426776550.png
107,923,8,T20 (N),Post,2023-05-20,20 May 2023,Kolkata Knight Riders VS Lucknow Super Giants,19:30,14:00 GMT,2023-05-20,77,Lucknow Super Giants,16,Kolkata Knight Riders,LSG,KKR,19,Eden Gardens,Lucknow Super Giants Won by 1  Run ,Kolkata Knight Riders,Kolkata Knight Riders won the Toss and elected to Field, won the Toss and elected to Field,0,176/8 (20.0 Ov),175/7 (20.0 Ov),,2023-05-20 19:30:00,Kolkata,,,,,,,,221,314,354,88,16,Kolkata Knight Riders,#319490,#df7317,#319490,#df7317,77,Lucknow Super Giants,Asia/Kolkata,20 May 2023,23:00,20,0,T20,68,,TATA IPL 2023,Madanagopal Jayaraman,Ulhas Gandhe,Yeshwant Barde,Lucknow Super Giants Won by 1  Run ,https://scores.iplt20.com/ipl/teamlogos/ADAMetmKk61682948573LSG.png,https://scores.iplt20.com/ipl/teamlogos/KKR.png,https://scores.iplt20.com/ipl/teamlogos/KKR.png,https://scores.iplt20.com/ipl/teamlogos/ADAMetmKk61682948573LSG.png,0,+9.5,2019-100mb00000000152-335aed3d44aa11,Rinku Singh,67,33,6,4,203.03,https://scores.iplt20.com/ipl/playerimages/Wp7dQI0Lku1680326905152.png,2021-100mb00000000583-8f4c0c4491dd11,Vaibhav Arora,1,1,0,0,100,https://scores.iplt20.com/ipl/playerimages/paqczbERaf1680326786583.png,2022-100mb00000001550-b8b1d54854ee11,Yash Thakur,3.0,31,0,2,10.33,9,https://scores.iplt20.com/ipl/playerimages/ycxCWbzTJV16803279711550.png,,,,2,176/8 (20.0 Overs),176,8,20.0,8.8,175/7 (20.0 Overs),175,7,20.0,8.75,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,77,Match 68,,,68,175,0,0,Nicholas Pooran,Batting,136,58,30,-,-,https://scores.bcci.tv/matchcentre/playerimages/x3ZBzexFff1680327190136.png
107,922,5,T20 D/N,Post,2023-05-20,20 May 2023,Delhi Capitals VS Chennai Super Kings,15:30,10:00 GMT,2023-05-20,13,Chennai Super Kings,14,Delhi Capitals,CSK,DC,17,Arun Jaitley Stadium,Chennai Super Kings Won by 77  Runs ,Chennai Super Kings,Chennai Super Kings won the Toss and elected to bat, won the Toss and elected to bat,1,223/3 (20.0 Ov),146/9 (20.0 Ov),,2023-05-20 15:30:00,Delhi,,,,,,,,29,95,44,165,14,Delhi Capitals,#319490,#df7317,#319490,#df7317,13,Chennai Super Kings,Asia/Kolkata,20 May 2023,23:00,20,0,T20,67,,TATA IPL 2023,Chris Gaffaney,Nikhil Patwardhan,Anil Chaudhary,Chennai Super Kings Won by 77  Runs ,https://scores.iplt20.com/ipl/teamlogos/CSK.png,https://scores.iplt20.com/ipl/teamlogos/DC.png,https://scores.iplt20.com/ipl/teamlogos/DC.png,https://scores.iplt20.com/ipl/teamlogos/CSK.png,0,+9.5,2021-100mb00000000592-49eb3f9a91e311,Chetan Sakariya,0,2,0,0,0,https://scores.iplt20.com/ipl/playerimages/onkfE6tSeK1680326646592.png,2019-100mb00000000142-040303a144a811,Anrich Nortje,0,1,0,0,0,https://scores.iplt20.com/ipl/playerimages/a3OH3m79BI1680326579142.png,2021-100mb00000000629-11c540100bd311,Maheesh Theekshana,4.0,23,1,2,5.75,12,https://scores.iplt20.com/ipl/playerimages/tf7MBF4UPl1680268196629.png,,,99.58,2,223/3 (20.0 Overs),223,3,20.0,11.15,146/9 (20.0 Overs),146,9,20.0,7.3,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,13,Match 67,,,67,146,0,0,Ruturaj Gaikwad,Batting,102,79,50,-,-,https://scores.bcci.tv/matchcentre/playerimages/D3FUWsAEla1680267769102.png
107,921,8,T20 (N),Post,2023-05-19,19 May 2023,Punjab Kings VS Rajasthan Royals,19:30,14:00 GMT,2023-05-19,15,Punjab Kings,18,Rajasthan Royals,PBKS,RR,38,Himachal Pradesh Cricket Association Stadium,Rajasthan Royals Won by 4  Wickets ,Rajasthan Royals,Rajasthan Royals won the Toss and elected to Field, won the Toss and elected to Field,1,187/5 (20.0 Ov),189/6 (19.4 Ov),,2023-05-19 19:30:00,Dharamsala,,,,,,,,191,299,129,163,15,Punjab Kings,#319490,#df7317,#319490,#df7317,18,Rajasthan Royals,Asia/Kolkata,19 May 2023,23:00,20,0,T20,66,,TATA IPL 2023,Nanda Kishore,Rod Tucker,Navdeep Singh,Rajasthan Royals Won by 4  Wickets ,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,https://scores.iplt20.com/ipl/teamlogos/RR.png,https://scores.iplt20.com/ipl/teamlogos/PBKS.png,https://scores.iplt20.com/ipl/teamlogos/RR.png,0,+9.5,2022-100mb00000001004-da6e207ea44e11,Dhruv Jurel,10,4,0,1,250,https://scores.iplt20.com/ipl/playerimages/Ho4WzcGaNi16803516191004.png,2019-100mb00000000066-573f78a31e3711,Trent Boult,1,2,0,0,50,https://scores.iplt20.com/ipl/playerimages/dTT3r3DFkM168035117866.png,2019-100mb00000000171-b2aa538f44ae11,Rahul Chahar,3.4,28,0,1,7.64,22,https://scores.iplt20.com/ipl/playerimages/dD6KSE9TsT1680327673171.png,,,,2,187/5 (20.0 Overs),187,5,20.0,9.35,189/6 (19.4 Overs),189,6,19.4,9.61,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,18,Match 66,,,66,192,0,0,Devdutt Padikkal,Batting,200,51,30,-,-,https://scores.bcci.tv/matchcentre/playerimages/ceU76aF1nf1680351686200.png
107,920,8,T20 (N),Post,2023-05-18,18 May 2023,Sunrisers Hyderabad VS Royal Challengers Bangalore,19:30,14:00 GMT,2023-05-18,20,Sunrisers Hyderabad,19,Royal Challengers Bangalore,SRH,RCB,13,Rajiv Gandhi International Stadium,Royal Challengers Bangalore Won by 8  Wickets ,Royal Challengers Bangalore,Royal Challengers Bangalore won the Toss and elected to Field, won the Toss and elected to Field,1,186/5 (20.0 Ov),187/2 (19.2 Ov),,2023-05-18 19:30:00,Hyderabad,,,,,,,,87,352,525,86,20,Sunrisers Hyderabad,#319490,#df7317,#319490,#df7317,19,Royal Challengers Bangalore,Asia/Kolkata,18 May 2023,23:00,20,0,T20,65,,TATA IPL 2023,Virender Kumar Sharma,Bruce Oxenford,Khalid Saiyed,Royal Challengers Bangalore Won by 8  Wickets ,https://scores.iplt20.com/ipl/teamlogos/SRH.png,https://scores.iplt20.com/ipl/teamlogos/RCB.png,https://scores.iplt20.com/ipl/teamlogos/SRH.png,https://scores.iplt20.com/ipl/teamlogos/RCB.png,0,+9.5,2022-100mb00000001465-c3bbc3db4bb011,Michael Bracewell,4,4,0,0,100,https://scores.iplt20.com/ipl/playerimages/zFhBGtO8Sd16803504911465.png,2018-100mb00000000028-acc7d0a3e99d11,Glenn Maxwell,5,3,1,0,166.66,https://scores.iplt20.com/ipl/playerimages/jmbBYR4MZX168035069428.png,2020-100mb00000000536-d64753d7639911,Kartik Tyagi,1.2,21,0,0,15.75,0,https://scores.iplt20.com/ipl/playerimages/OS2Rqq6dOh1680426000536.png,,,,2,186/5 (20.0 Overs),186,5,20.0,9.3,187/2 (19.2 Overs),187,2,19.2,9.67,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,19,Match 65,,,65,193,0,0,Virat Kohli,Batting,2,100,63,-,-,https://scores.bcci.tv/matchcentre/playerimages/xQb5MAq2Mv16803506302.png
