StrikerName,PlayerId,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
Matthew Hayden,0,12,29-10-1971,CSK,Chennai Super Kings,12,572,395,144.81,60,22,11,1,5,0,89,52.0,Australia,lhb,Overseas,False
Adam Gilchrist,0,16,14-11-1971,DEC,Deccan Chargers,16,495,325,152.3,54,29,16,0,3,0,85,30.93,Australia,lhb,Overseas,False
Suresh Raina,106,14,27-11-1986,CSK,Chennai Super Kings,14,434,308,140.9,37,21,14,0,2,0,98,31.0,India,lhb,Indian,False
JP Duminy,0,13,14-4-1984,MI,Mumbai Indians,12,372,325,114.46,26,11,9,3,5,0,62,41.33,South Africa,lhb,Overseas,False
Herschelle Gibbs,471,14,23-2-1974,DEC,Deccan Chargers,14,371,331,112.08,32,12,11,3,4,0,69*,33.72,South Africa,rhb,Overseas,True
Brad Hodge,449,12,29-12-1974,KKR,Kolkata Knight Riders,12,365,310,117.74,34,9,9,3,3,0,73,40.55,Australia,rhb,Overseas,True
Sachin Tendulkar,233,13,24-4-1973,MI,Mumbai Indians,13,364,303,120.13,39,10,11,2,2,0,68,33.09,India,rhb,Indian,True
Rohit Sharma,6,16,30-4-1987,DEC,Deccan Chargers,16,362,315,114.92,22,18,13,3,1,0,52,27.84,India,rhb,Indian,True
Jacques Kallis,0,15,16-10-1975,RCB,Royal Challengers Bangalore,15,361,332,108.73,37,8,13,2,3,0,69*,27.76,South Africa,rhb,Overseas,True
Yuvraj Singh,175,14,12-12-1981,PBKS,Punjab Kings,14,340,294,115.64,25,16,12,2,2,0,58*,28.33,India,lhb,Indian,False
Kumar Sangakkara,0,14,27-10-1977,PBKS,Punjab Kings,13,332,324,102.46,29,5,11,2,2,0,60,30.18,Sri Lanka,lhb,Overseas,False
