StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings
Shaun Marsh,41,11,,,,10000,,,PBKS,Punjab Kings,10000,,,11,,616,441,,139.68,,,,,,,,,,59,26,59,26,9,2,68.44,5,1,,115,68.44,,
Gautam Gambhir,0,14,,,,10000,,,DC,Delhi Capitals,10000,,,14,,534,379,,140.89,,,,,,,,,,68,8,68,8,13,1,41.07,5,0,,86,41.07,,
Sanath Jayasuriya,0,14,,,,10000,,,MI,Mumbai Indians,10000,,,14,,518,309,,167.63,,,,,,,,,,58,31,58,31,12,2,43.16,2,1,,114*,43.16,,
Shane Watson,104,15,,,,10000,,,RR,Rajasthan Royals,10000,,,15,,472,311,,151.76,,,,,,,,,,47,19,47,19,10,5,47.20,4,0,,76*,47.20,,
Graeme Smith,0,11,,,,10000,,,RR,Rajasthan Royals,10000,,,11,,441,362,,121.82,,,,,,,,,,54,8,54,8,9,2,49.00,3,0,,91,49.00,,
Adam Gilchrist,0,14,,,,10000,,,PBKS,Punjab Kings,10000,,,14,,436,318,,137.10,,,,,,,,,,51,19,51,19,13,1,33.53,3,1,,109*,33.53,,
Yusuf Pathan,226,16,,,,10000,,,RR,Rajasthan Royals,10000,,,15,,435,243,,179.01,,,,,,,,,,43,25,43,25,14,1,31.07,4,0,,68,31.07,,
Suresh Raina,106,16,,,,10000,,,CSK,Chennai Super Kings,10000,,,14,,421,296,,142.22,,,,,,,,,,35,18,35,18,11,3,38.27,3,0,,55*,38.27,,
MS Dhoni,57,16,,,,10000,,,CSK,Chennai Super Kings,10000,,,14,,414,310,,133.54,,,,,,,,,,38,15,38,15,10,4,41.40,2,0,,65,41.40,,
Virender Sehwag,461,14,,,,10000,,,DC,Delhi Capitals,10000,,,14,,406,220,,184.54,,,,,,,,,,46,21,46,21,12,2,33.83,3,0,,94*,33.83,,
Rohit Sharma,6,13,,,,10000,,,DEC,Deccan Chargers,10000,,,12,,404,273,,147.98,,,,,,,,,,38,19,38,19,11,1,36.72,4,0,,76*,36.72,,
Rahul Dravid,0,14,,,,10000,,,RCB,Royal Challengers Bangalore,10000,,,14,,371,298,,124.49,,,,,,,,,,35,11,35,11,13,1,28.53,2,0,,75*,28.53,,
Sourav Ganguly,0,13,,,,10000,,,KKR,Kolkata Knight Riders,10000,,,13,,349,307,,113.68,,,,,,,,,,33,15,33,15,12,1,29.08,3,0,,91,29.08,,
Shikhar Dhawan,11,14,,,,10000,,,DC,Delhi Capitals,10000,,,14,,340,295,,115.25,,,,,,,,,,35,8,35,8,9,5,37.77,4,0,,68*,37.77,,
Kumar Sangakkara,0,10,,,,10000,,,PBKS,Punjab Kings,10000,,,9,,320,198,,161.61,,,,,,,,,,41,8,41,8,9,0,35.55,4,0,,94,35.55,,
Robin Uthappa,153,14,,,,10000,,,MI,Mumbai Indians,10000,,,14,,320,279,,114.69,,,,,,,,,,34,9,34,9,9,5,35.55,0,0,,48,35.55,,
David Hussey,0,13,,,,10000,,,KKR,Kolkata Knight Riders,10000,,,13,,319,259,,123.16,,,,,,,,,,19,17,19,17,11,2,29.00,2,0,,71,29.00,,
Swapnil Asnodkar,0,9,,,,10000,,,RR,Rajasthan Royals,10000,,,9,,311,233,,133.47,,,,,,,,,,43,6,43,6,9,0,34.55,2,0,,60,34.55,,
Parthiv Patel,48,13,,,,10000,,,CSK,Chennai Super Kings,10000,,,13,,302,297,,101.68,,,,,,,,,,42,3,42,3,11,2,27.45,2,0,,54,27.45,,
Yuvraj Singh,175,15,,,,10000,,,PBKS,Punjab Kings,10000,,,14,,299,184,,162.50,,,,,,,,,,24,19,24,19,13,1,23.00,1,0,,57,23.00,,
Venugopal Rao,0,11,,,,10000,,,DEC,Deccan Chargers,10000,,,10,,288,210,,137.14,,,,,,,,,,22,15,22,15,8,2,36.00,2,0,,71*,36.00,,
Albie Morkel,481,13,,,,10000,,,CSK,Chennai Super Kings,10000,,,10,,241,163,,147.85,,,,,,,,,,18,14,18,14,7,3,34.42,1,0,,71,34.42,,
