BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Mohit Sharma,,,CSK,Chennai Super Kings,16,,16,,100,,452,118,,,19.65,14.04,14.04,,,8.39,54,,,,0,0,,,,,23,,,,4/14,4/14,0,,1,0,,0
Sunil Narine,,,KKR,Kolkata Knight Riders,16,,16,,156,,407,157,,,19.38,18.28,18.28,,,6.35,64,,,,0,0,,,,,21,,,,5/19,5/19,0,,2,0,,0
Bhuvneshwar Kumar,,,SRH,Sunrisers Hyderabad,14,,14,,15,,354,152,,,17.70,15.95,15.95,,,6.65,53,,,,0,0,,,,,20,,,,5/19,5/19,0,,1,0,,0
Ravindra Jadeja,,,CSK,Chennai Super Kings,16,,16,,46,,443,103,,,23.31,17.15,17.15,,,8.15,54,,,,9,5,,,,,19,,,,5/16,5/16,0,,2,0,,0
Sandeep Sharma,,,PBKS,Punjab Kings,11,,11,,220,,354,109,,,19.66,13.38,13.38,,,8.81,40,,,,0,0,,,,,18,,,,4/20,4/20,2,,0,0,,0
Mitchell Johnson,,,PBKS,Punjab Kings,14,,14,,0,,444,135,,,26.11,18.88,18.88,,,8.29,53,,,,4,3,,,,,17,,,,3/26,3/26,0,,0,0,,0
Axar Patel,,,PBKS,Punjab Kings,17,,17,,110,,405,157,,,23.82,23.29,23.29,,,6.13,66,,,,6,1,,,,,17,,,,4/21,4/21,2,,0,0,,0
Lasith Malinga,,,MI,Mumbai Indians,10,,10,,167,,253,99,,,15.81,14.68,14.68,,,6.45,39,,,,0,0,,,,,16,,,,5/13,5/13,0,,1,0,,0
Varun Aaron,,,RCB,Royal Challengers Bangalore,10,,10,,197,,299,90,,,18.68,13.75,13.75,,,8.15,36,,,,2,1,,,,,16,,,,3/16,3/16,1,,0,0,,0
Ravichandran Ashwin,,,CSK,Chennai Super Kings,16,,16,,45,,437,130,,,27.31,22.43,22.43,,,7.30,60,,,,4,0,,,,,16,,,,4/34,4/34,1,,0,0,,0
