BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsRuns,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,ClientPlayerID
Yuzvendra Chahal,true,,RR,Rajasthan Royals,17,60,17,18,2018-100mb00000000010-b76159ade99b11,408,527,137,33.57,292,19.51,15.11,15.11,49.71,7.84,7.75,68.0,197,19,3,25,27,21,0,1,8,27,40,5,40,5,40/5,40/5,0,0,1,1,0,111
Wanindu Hasaranga,true,,RCB,Royal Challengers Bangalore,16,60,16,19,2020-100mb00000000377-c8cec37e2dec11,342,430,143,41.81,203,16.53,13.15,13.15,63.25,6.45,7.54,57.0,137,10,0,23,30,4,0,4,5,26,18,5,18,5,18/5,18/5,1,1,1,1,0,3082
Kagiso Rabada,false,,PBKS,Punjab Kings,13,60,13,15,2019-100mb00000000116-dbd48930449611,288,406,133,46.18,170,17.65,12.52,12.52,67.48,4.72,8.45,48.0,78,21,0,46,15,12,3,2,6,23,33,4,33,4,33/4,33/4,0,0,2,0,0,1664
Umran Malik,true,,SRH,Sunrisers Hyderabad,14,60,14,20,2021-100mb00000000637-4e1434ea244f11,295,444,141,47.79,171,20.18,13.40,13.40,71.62,4.15,9.03,49.1,70,13,4,54,17,14,4,2,9,22,25,5,25,5,25/5,25/5,1,1,1,1,0,15154
Kuldeep Yadav,false,,DC,Delhi Capitals,14,60,14,14,2018-100mb00000000014-227bc550e99c11,298,419,97,32.55,209,19.95,14.19,14.19,59.18,5.84,8.43,49.4,137,13,0,29,22,8,0,0,1,21,14,4,14,4,14/4,14/4,0,0,2,0,0,261
Mohammad Shami,true,,GT,Gujarat Titans,16,60,16,35,2018-100mb00000000047-1bfc8ff2f88b11,366,488,172,46.99,206,24.40,18.30,18.30,65.98,5.08,8.00,61.0,102,20,4,55,17,12,0,0,3,20,25,3,25,3,25/3,25/3,0,0,0,0,0,94
Josh Hazlewood,false,,RCB,Royal Challengers Bangalore,12,60,12,19,2018-100mb00000000036-2af54408f88a11,279,377,123,44.08,166,18.85,13.95,13.95,65.25,5.26,8.10,46.3,87,14,2,36,17,10,0,1,2,20,25,4,25,4,25/4,25/4,1,1,1,0,0,857
Rashid Khan,true,,GT,Gujarat Titans,16,60,16,35,2019-100mb00000000218-42d9d6f544bf11,383,421,127,33.15,259,22.15,20.15,20.15,39.90,11.26,6.59,63.5,196,26,2,18,16,3,0,4,3,19,24,4,24,4,24/4,24/4,0,0,1,0,0,2885
Harshal Patel,true,,RCB,Royal Challengers Bangalore,15,60,15,19,2019-100mb00000000114-8c98068c449611,321,410,130,40.49,208,21.57,16.89,16.89,57.56,6.55,7.66,53.3,129,16,0,29,20,17,0,0,11,19,34,4,34,4,34/4,34/4,2,2,1,0,0,157
Prasidh Krishna,true,,RR,Rajasthan Royals,17,60,17,18,2019-100mb00000000150-3a51ee2844a911,399,551,200,50.12,232,29.00,21.00,21.00,71.14,4.48,8.28,66.3,100,15,1,71,18,30,3,4,9,19,22,3,22,3,22/3,22/3,3,2,0,0,0,5105
Avesh Khan,true,,LSG,Lucknow Super Giants,13,60,13,77,2019-100mb00000000109-5cc123ab449411,286,416,126,44.05,174,23.11,15.88,15.88,69.71,4.33,8.72,47.4,79,17,1,53,13,13,1,4,3,18,24,4,24,4,24/4,24/4,1,1,1,0,0,1561
T Natarajan,false,,SRH,Sunrisers Hyderabad,11,60,11,20,2019-100mb00000000224-85b4cb8c44c011,258,406,82,31.78,190,22.55,14.33,14.33,61.08,4.86,9.44,43.0,105,19,0,35,18,14,0,0,4,18,10,3,10,3,10/3,10/3,0,0,0,0,0,3831
Andre Russell,true,,KKR,Kolkata Knight Riders,14,60,13,16,2019-100mb00000000141-e67c41d144a711,169,278,58,34.31,118,16.35,9.94,9.94,67.62,4.12,9.86,28.1,59,14,0,29,12,6,1,4,0,17,5,4,5,4,5/4,5/4,0,0,1,0,0,177
Umesh Yadav,true,,KKR,Kolkata Knight Riders,12,60,12,16,2018-100mb00000000021-a294dad8e99c11,288,339,143,49.65,154,21.18,18.00,18.00,65.48,5.87,7.06,48.0,86,10,2,36,13,4,5,6,9,16,23,4,23,4,23/4,23/4,2,2,1,0,0,59
Trent Boult,true,,RR,Rajasthan Royals,16,60,16,18,2019-100mb00000000066-573f78a31e3711,372,492,176,47.31,211,30.75,23.25,23.25,67.47,4.96,7.93,62.0,99,22,2,59,16,15,0,1,8,16,18,2,18,2,18/2,18/2,3,0,0,0,0,969
Khaleel Ahmed,true,,DC,Delhi Capitals,10,60,10,14,2018-100mb00000000008-787fc4ece99b11,235,315,110,46.80,132,19.68,14.68,14.68,67.93,5.00,8.04,39.1,62,16,0,34,13,6,1,0,0,16,25,3,25,3,25/3,25/3,0,0,0,0,0,2964
Dwayne Bravo,true,,CSK,Chennai Super Kings,10,60,10,13,2019-100mb00000000093-b986cb2243ed11,206,299,70,33.98,159,18.68,12.87,12.87,50.83,5.88,8.70,34.2,81,20,1,29,6,20,3,0,4,16,20,3,20,3,20/3,20/3,1,1,0,0,0,25
Mukesh Choudhary,false,,CSK,Chennai Super Kings,13,60,13,13,2022-100mb00000000970-8f107726a44511,273,424,119,43.58,172,26.50,17.06,17.06,68.39,4.26,9.31,45.3,68,18,4,47,17,18,0,0,1,16,46,4,46,4,46/4,46/4,0,0,1,0,0,20575
Jasprit Bumrah,true,,MI,Mumbai Indians,14,60,14,17,2018-100mb00000000009-92bfdfe9e99b11,320,383,139,43.43,188,25.53,21.33,21.33,56.91,6.53,7.18,53.2,109,22,3,38,11,6,1,0,9,15,10,5,10,5,10/5,10/5,2,2,0,1,0,1124
Shardul Thakur,true,,DC,Delhi Capitals,14,60,14,14,2019-100mb00000000105-4c526de743fe11,290,473,109,37.58,206,31.53,19.33,19.33,66.38,4.32,9.78,48.2,97,20,0,44,23,24,1,1,11,15,36,4,36,4,36/4,36/4,1,0,1,0,0,1745
Mohsin Khan,false,,LSG,Lucknow Super Giants,9,60,9,77,2020-100mb00000000541-c84d8371639b11,198,197,107,54.04,99,14.07,14.14,14.14,55.83,7.92,5.96,33.0,55,11,2,20,5,8,0,4,1,14,16,4,16,4,16/4,16/4,2,1,1,0,0,4952
Rahul Chahar,true,,PBKS,Punjab Kings,13,60,13,15,2019-100mb00000000171-b2aa538f44ae11,280,360,99,35.35,191,25.71,20.00,20.00,50.00,7.36,7.71,46.4,118,27,0,24,14,10,0,4,1,14,25,3,25,3,25/3,25/3,1,1,0,0,0,3763
Tim Southee,true,,KKR,Kolkata Knight Riders,9,60,9,16,2019-100mb00000000077-20befda21e4011,210,275,93,44.28,127,19.64,15.00,15.00,60.36,6.00,7.85,35.0,66,15,1,22,13,9,1,1,8,14,20,3,20,3,20/3,20/3,0,0,0,0,0,307
Jason Holder,true,,LSG,Lucknow Super Giants,12,60,12,77,2019-100mb00000000263-296c7a0b7adb11,249,391,77,30.92,189,27.92,17.78,17.78,59.84,5.08,9.42,41.3,106,16,2,30,19,17,0,0,8,14,31,3,31,3,31/3,31/3,0,0,0,0,0,1075
Ravi Bishnoi,true,,LSG,Lucknow Super Giants,14,60,14,77,2020-100mb00000000520-c2b1e0df638711,324,456,113,34.87,227,35.07,24.92,24.92,58.33,5.58,8.44,54.0,132,23,0,41,17,13,3,0,6,13,22,2,22,2,22/2,22/2,0,0,0,0,0,19351
Daniel Sams,true,,MI,Mumbai Indians,11,60,11,17,2020-100mb00000000546-b254fce3f9ac11,252,370,107,42.46,167,28.46,19.38,19.38,64.32,5.04,8.80,42.0,83,15,0,31,19,21,1,0,5,13,30,4,30,4,30/4,30/4,0,0,1,0,0,4649
Bhuvneshwar Kumar,true,,SRH,Sunrisers Hyderabad,14,60,14,20,2018-100mb00000000015-3501d442e99c11,313,383,139,44.40,191,31.91,26.08,26.08,53.26,6.95,7.34,52.1,102,27,2,33,12,15,2,1,10,12,22,3,22,3,22/3,22/3,2,2,0,0,0,116
