StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,ClientPlayerID
Shubman Gill,62,17,0000-00-00,true,Indian,107,2019-100mb00000000062-8fa4884a17f311,35,GT,Gujarat Titans,107,35,2019-100mb00000000062-8fa4884a17f311,17,33,890,564,150,157.80,26.59,3.76,4.77,60.44,2.14,414,244,48,4,85,33,15,2,445.00,4,3,0,129,59.33,6,0,3761
Faf Du Plessis,94,14,0000-00-00,true,Overseas,107,2019-100mb00000000094-1e8fa14543ee11,19,RCB,Royal Challengers Bangalore,107,19,2019-100mb00000000094-1e8fa14543ee11,14,21,730,475,133,153.68,28.00,3.57,4.94,62.46,2.13,342,219,26,1,60,36,13,1,730.00,8,0,0,84,56.15,3,0,24
Devon Conway,601,16,0000-00-00,false,Overseas,107,2021-100mb00000000601-517399b0ceaf11,13,CSK,Chennai Super Kings,107,13,2021-100mb00000000601-517399b0ceaf11,15,28,672,481,164,139.70,34.09,2.93,5.06,61.90,2.11,317,191,28,3,77,18,13,2,336.00,6,0,0,92*,51.69,6,0,20572
Virat Kohli,2,14,0000-00-00,true,Indian,107,2018-wicb00000000002-47ea5a6ae99a11,19,RCB,Royal Challengers Bangalore,107,19,2018-wicb00000000002-47ea5a6ae99a11,14,22,639,457,130,139.82,28.44,3.51,5.64,55.71,1.95,327,210,35,1,65,16,12,2,319.50,6,2,0,101*,53.25,13,0,164
Yashasvi Jaiswal,533,14,0000-00-00,false,Indian,107,2020-100mb00000000533-e895f279639811,18,RR,Rajasthan Royals,107,18,2020-100mb00000000533-e895f279639811,14,28,625,382,152,163.61,39.79,2.51,3.53,77.44,2.71,230,107,12,2,82,26,13,1,625.00,5,1,0,124,48.08,8,0,13538
Suryakumar Yadav,174,16,0000-00-00,true,Indian,107,2019-100mb00000000174-619a804244af11,17,MI,Mumbai Indians,107,17,2019-100mb00000000174-619a804244af11,16,13,605,334,92,181.13,27.54,3.63,3.59,70.74,2.50,242,121,28,0,65,28,14,2,302.50,5,1,0,103*,43.21,6,0,108
Ruturaj Gaikwad,102,16,0000-00-00,true,Indian,107,2019-100mb00000000102-28e7fca043fc11,13,CSK,Chennai Super Kings,107,13,2019-100mb00000000102-28e7fca043fc11,15,22,590,400,134,147.50,33.50,2.98,5.26,61.69,2.21,266,156,32,2,46,30,14,1,590.00,4,0,0,92,42.14,17,0,5443
David Warner,214,14,0000-00-00,false,Overseas,107,2019-100mb00000000214-df216bed44bc11,14,DC,Delhi Capitals,107,14,2019-100mb00000000214-df216bed44bc11,14,22,516,392,157,131.63,40.05,2.49,4.96,65.11,2.19,235,133,22,1,69,10,14,0,NA,6,0,0,86,36.86,7,0,170
Rinku Singh,152,14,0000-00-00,false,Indian,107,2019-100mb00000000152-335aed3d44aa11,16,KKR,Kolkata Knight Riders,107,16,2019-100mb00000000152-335aed3d44aa11,14,23,474,317,101,149.52,31.86,3.13,5.28,62.86,2.19,216,136,20,0,31,29,8,6,79.00,4,0,0,67*,59.25,8,0,3830
Ishan Kishan,164,15,0000-00-00,false,Indian,107,2019-100mb00000000164-8ae075db44ad11,17,MI,Mumbai Indians,107,17,2019-100mb00000000164-8ae075db44ad11,15,11,454,318,130,142.76,40.88,2.44,4.41,71.36,2.41,188,103,12,1,54,18,15,0,NA,3,0,0,75,30.27,10,3,2975
