Name,PlayerDOB,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled,TeamCode,TeamName,Innings,Matches,Nationality,RightHandedBat
Chris Gayle,21-9-1979,733.0,456.0,160.74,46.0,59.0,12.0,2.0,7.0,1.0,128*,61.08,West Indies,lhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,14.0,15.0,Overseas,False
Gautam Gambhir,14-10-1981,590.0,411.0,143.55,64.0,17.0,15.0,2.0,6.0,0.0,93,39.33,India,lhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,17.0,17.0,Indian,False
Shikhar Dhawan,5-12-1985,569.0,439.0,129.61,58.0,18.0,14.0,1.0,5.0,0.0,84,40.64,India,lhb,55.0,12.0,18.33,12.0,9.16,6,58.0,18.0,3.0,1/7,1/7,0.0,0.0,0.0,36.0,DEC,Deccan Chargers,15.0,15.0,Indian,False
Ajinkya Rahane,6-6-1988,560.0,433.0,129.33,73.0,10.0,14.0,2.0,3.0,1.0,103*,40.0,India,rhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,16.0,16.0,Indian,True
Virender Sehwag,20-10-1978,495.0,307.0,161.23,57.0,19.0,15.0,1.0,5.0,0.0,87*,33.0,India,rhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,16.0,16.0,Indian,True
Cameron White,18-8-1983,479.0,320.0,149.68,41.0,20.0,11.0,2.0,5.0,0.0,78,43.54,Australia,rhb,,,,,,,,,,,,,,,,DEC,Deccan Chargers,13.0,13.0,Overseas,True
Rahul Dravid,11-1-1973,462.0,412.0,112.13,63.0,4.0,16.0,0.0,2.0,0.0,58,28.87,India,rhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,16.0,16.0,Indian,True
Suresh Raina,27-11-1986,441.0,325.0,135.69,36.0,19.0,17.0,1.0,1.0,0.0,73,25.94,India,lhb,105.0,21.0,52.5,42.0,7.5,14,36.0,19.0,2.0,2/0,2/0,0.0,0.0,0.0,84.0,CSK,Chennai Super Kings,18.0,19.0,Indian,False
Rohit Sharma,30-4-1987,433.0,342.0,126.6,39.0,18.0,14.0,2.0,3.0,1.0,109*,30.92,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,16.0,17.0,Indian,True
Mandeep Singh,18-12-1991,432.0,342.0,126.31,53.0,7.0,16.0,0.0,2.0,0.0,75,27.0,India,rhb,23.0,7.0,23.0,18.0,7.66,3,53.0,7.0,1.0,1/23,1/23,0.0,0.0,0.0,18.0,PBKS,Punjab Kings,16.0,16.0,Indian,True
Jacques Kallis,16-10-1975,409.0,384.0,106.51,34.0,10.0,16.0,1.0,2.0,0.0,79,25.56,South Africa,rhb,403.0,112.0,26.86,21.6,7.46,54,34.0,10.0,15.0,3/13,3/13,0.0,0.0,0.0,324.0,KKR,Kolkata Knight Riders,17.0,17.0,Overseas,True
Robin Uthappa,11-11-1985,405.0,343.0,118.07,38.0,10.0,15.0,1.0,2.0,0.0,69,27.0,India,rhb,,,,,,,,,,,,,,,,PWI,Pune Warriors India,16.0,16.0,Indian,True
Faf du Plessis,13-7-1984,398.0,304.0,130.92,29.0,17.0,12.0,0.0,3.0,0.0,73,33.16,South Africa,rhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,12.0,13.0,Overseas,True
David Hussey,15-7-1977,396.0,305.0,129.83,28.0,17.0,12.0,3.0,2.0,0.0,68*,33.0,Australia,rhb,63.0,14.0,21.0,18.0,7.0,9,28.0,17.0,3.0,2/2,2/2,0.0,0.0,0.0,54.0,PBKS,Punjab Kings,15.0,16.0,Overseas,True
Dwayne Bravo,7-10-1983,371.0,264.0,140.53,20.0,20.0,8.0,8.0,0.0,0.0,48,46.37,West Indies,rhb,461.0,110.0,30.73,23.06,7.99,57,20.0,20.0,15.0,4/22,4/22,0.0,0.0,0.0,342.0,CSK,Chennai Super Kings,16.0,19.0,Overseas,True
Virat Kohli,5-11-1988,364.0,326.0,111.65,33.0,9.0,13.0,2.0,2.0,0.0,73*,28.0,India,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,15.0,16.0,Indian,True
Steve Smith,2-6-1989,362.0,267.0,135.58,24.0,14.0,9.0,5.0,0.0,0.0,47*,40.22,Australia,rhb,,,,,,,,,,,,,,,,PWI,Pune Warriors India,14.0,15.0,Overseas,True
MS Dhoni,7-7-1981,358.0,278.0,128.77,26.0,9.0,12.0,5.0,1.0,0.0,51*,29.83,India,rhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,17.0,19.0,Indian,True
Owais Shah,22-10-1978,340.0,256.0,132.81,24.0,16.0,9.0,4.0,3.0,0.0,76,37.77,England,rhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,13.0,13.0,Overseas,True
Shaun Marsh,9-7-1983,336.0,280.0,120.0,39.0,7.0,11.0,2.0,2.0,0.0,68*,30.54,Australia,lhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,13.0,13.0,Overseas,False
Murali Vijay,1-4-1984,336.0,267.0,125.84,39.0,10.0,13.0,1.0,0.0,1.0,113,25.84,India,rhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,14.0,14.0,Indian,True
Mahela Jayawardena,27-5-1977,335.0,298.0,112.41,39.0,3.0,12.0,3.0,3.0,0.0,56*,27.91,Sri Lanka,rhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,15.0,16.0,Overseas,True
Ambati Rayudu,23-9-1985,333.0,252.0,132.14,21.0,14.0,9.0,6.0,2.0,0.0,81*,37.0,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,15.0,17.0,Indian,True
Sachin Tendulkar,24-4-1973,324.0,283.0,114.48,39.0,4.0,11.0,2.0,2.0,0.0,74,29.45,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,13.0,13.0,Indian,True
AB de Villiers,17-2-1984,319.0,198.0,161.11,26.0,15.0,8.0,5.0,3.0,0.0,64*,39.87,South Africa,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,13.0,16.0,Overseas,True
Kevin Pietersen,27-6-1980,305.0,207.0,147.34,22.0,20.0,5.0,3.0,1.0,1.0,103*,61.0,England,rhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,8.0,8.0,Overseas,True
Brendon McCullum,27-9-1981,289.0,283.0,102.12,37.0,3.0,12.0,0.0,1.0,0.0,56,24.08,New Zealand,rhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,12.0,12.0,Overseas,True
Tillakaratne Dilshan,14-10-1976,285.0,261.0,109.19,33.0,5.0,8.0,1.0,3.0,0.0,76*,35.62,Sri Lanka,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,9.0,10.0,Overseas,True
Sourav Ganguly,8-7-1972,268.0,271.0,98.89,30.0,4.0,15.0,0.0,0.0,0.0,45,17.86,India,lhb,95.0,10.0,47.5,30.0,9.5,10,30.0,4.0,2.0,2/21,2/21,0.0,0.0,0.0,60.0,PWI,Pune Warriors India,15.0,15.0,Indian,False
Michael Hussey,27-5-1975,261.0,236.0,110.59,28.0,8.0,8.0,0.0,2.0,0.0,56,32.62,Australia,lhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,8.0,8.0,Overseas,False
Manoj Tiwary,14-11-1985,260.0,246.0,105.69,21.0,3.0,10.0,5.0,1.0,0.0,59,26.0,India,rhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,15.0,16.0,Indian,True
David Warner,27-10-1986,256.0,156.0,164.1,28.0,14.0,7.0,1.0,1.0,1.0,109*,36.57,Australia,lhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,8.0,8.0,Overseas,False
Jesse Ryder,6-8-1984,256.0,212.0,120.75,23.0,8.0,10.0,1.0,2.0,0.0,86,25.6,New Zealand,lhb,70.0,10.0,70.0,42.0,10.0,7,23.0,8.0,1.0,2/14,2/14,0.0,0.0,0.0,42.0,PWI,Pune Warriors India,11.0,11.0,Overseas,False
Shane Watson,17-6-1981,255.0,168.0,151.78,26.0,14.0,6.0,1.0,2.0,0.0,90*,42.5,Australia,rhb,161.0,62.0,26.83,23.0,7.0,23,26.0,14.0,6.0,4/29,4/29,1.0,0.0,0.0,138.0,RR,Rajasthan Royals,7.0,7.0,Overseas,True
