MatchRow,MatchOrder,MatchName,TossTeam,Comments,HomeTeamName,AwayTeamName,1Summary,FirstBattingTeamCode,FirstBattingTeamName,RevisedOver,RevisedTarget,2Summary,SecondBattingTeamCode,SecondBattingTeamName,GroundName,city,MATCH_COMMENCE_START_DATE,MatchTime,MatchEndDate,MatchEndTime,Winner
59,59th  T20I,Chennai Super Kings VS Rajasthan Royals,Rajasthan Royals,Rajasthan Royals won by 3 wickets,Chennai Super Kings,Rajasthan Royals,163/5 (20 Overs),CSK,Chennai Super Kings,,,164/7 (20 Overs),RR,Rajasthan Royals,DY Patil Stadium,NAVI MUMBAI,2008-06-01 20:00:00,20:00,1 Jun 2008,23:00,Rajasthan Royals
58,58th  T20I,Chennai Super Kings VS Punjab Kings,Punjab Kings,Chennai Super Kings won by 9 wickets,Chennai Super Kings,Punjab Kings,112/8 (20 Overs),PBKS,Punjab Kings,,,116/1 (14.5 Overs),CSK,Chennai Super Kings,Wankhede Stadium,Mumbai,2008-05-31 20:00:00,20:00,31 May 2008,23:00,Chennai Super Kings
57,57th  T20I,Delhi Daredevils VS Rajasthan Royals,Rajasthan Royals,Rajasthan Royals won by 105 runs,Delhi Daredevils,Rajasthan Royals,192/9 (20 Overs),RR,Rajasthan Royals,,,87/10 (16.1 Overs),DD,Delhi Daredevils,Wankhede Stadium,Mumbai,2008-05-30 20:00:00,20:00,30 May 2008,23:00,Rajasthan Royals
56,56th  T20I,Punjab Kings VS Rajasthan Royals,Rajasthan Royals,Punjab Kings won by 41 runs,Punjab Kings,Rajasthan Royals,221/3 (20 Overs),PBKS,Punjab Kings,,,180/7 (20 Overs),RR,Rajasthan Royals,IS Bindra Stadium,Mohali,2008-05-28 20:00:00,20:00,28 May 2008,23:00,Punjab Kings
55,55th  T20I,Royal Challengers Bangalore VS Mumbai Indians,Mumbai Indians,Mumbai Indians won by 9 wickets,Royal Challengers Bangalore,Mumbai Indians,122/9 (18 Overs),RCB,Royal Challengers Bangalore,,,126/1 (16 Overs),MI,Mumbai Indians,M. Chinnaswamy Stadium,Bengaluru,2008-05-28 16:00:00,16:00,28 May 2008,23:00,Mumbai Indians
54,54th  T20I,Deccan Chargers VS Chennai Super Kings,Chennai Super Kings,Chennai Super Kings won by 7 wickets,Deccan Chargers,Chennai Super Kings,147/8 (20 Overs),DEC,Deccan Chargers,,,148/3 (19.2 Overs),CSK,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,2008-05-27 20:00:00,20:00,27 May 2008,23:00,Chennai Super Kings
53,53rd  T20I,Rajasthan Royals VS Mumbai Indians,Mumbai Indians,Rajasthan Royals won by 5 wickets,Rajasthan Royals,Mumbai Indians,145/7 (20 Overs),MI,Mumbai Indians,,,146/5 (20 Overs),RR,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2008-05-26 20:00:00,20:00,26 May 2008,23:00,Rajasthan Royals
52,52nd  T20I,Kolkata Knight Riders VS Punjab Kings,Punjab Kings,Kolkata Knight Riders won by 3 wickets,Kolkata Knight Riders,Punjab Kings,174/6 (20 Overs),PBKS,Punjab Kings,,,175/7 (19.4 Overs),KKR,Kolkata Knight Riders,Eden Gardens,Kolkata,2008-05-25 20:00:00,20:00,25 May 2008,23:00,Kolkata Knight Riders
51,51st T20I,Deccan Chargers VS Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore won by 5 wickets,Deccan Chargers,Royal Challengers Bangalore,165/10 (20 Overs),DEC,Deccan Chargers,,,171/5 (19 Overs),RCB,Royal Challengers Bangalore,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,2008-05-25 16:00:00,16:00,25 May 2008,23:00,Royal Challengers Bangalore
50,50th  T20I,Delhi Daredevils VS Mumbai Indians,Mumbai Indians,Delhi Daredevils won by 5 wickets,Delhi Daredevils,Mumbai Indians,180/8 (20 Overs),MI,Mumbai Indians,,,179/5 (19.5 Overs),DD,Delhi Daredevils,Arun Jaitley Stadium,Delhi,2008-05-24 20:00:00,20:00,24 May 2008,23:00,Delhi Daredevils
49,49th  T20I,Chennai Super Kings VS Rajasthan Royals,Rajasthan Royals,Rajasthan Royals won by 10 runs,Chennai Super Kings,Rajasthan Royals,211/5 (20 Overs),RR,Rajasthan Royals,,,201/7 (20 Overs),CSK,Chennai Super Kings,M. A. Chidambaram Stadium,Chennai,2008-05-24 16:00:00,16:00,24 May 2008,23:00,Rajasthan Royals
48,48th  T20I,Punjab Kings VS Deccan Chargers,Deccan Chargers,Punjab Kings won by 6 wickets,Punjab Kings,Deccan Chargers,175/4 (20 Overs),DEC,Deccan Chargers,,,178/4 (19.3 Overs),PBKS,Punjab Kings,IS Bindra Stadium,Mohali,2008-05-23 20:00:00,20:00,23 May 2008,23:00,Punjab Kings
47,47th  T20I,Delhi Daredevils VS Kolkata Knight Riders,Kolkata Knight Riders,Match abandoned without a ball bowled,Delhi Daredevils,Kolkata Knight Riders,,DD,Delhi Daredevils,,,,KKR,Kolkata Knight Riders,Arun Jaitley Stadium,Delhi,2008-05-22 20:00:00,20:00,22 May 2008,23:00,
46,46th  T20I,Chennai Super Kings VS Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore won by 14 runs,Chennai Super Kings,Royal Challengers Bangalore,126/8 (20 Overs),RCB,Royal Challengers Bangalore,,,112/8 (20 Overs),CSK,Chennai Super Kings,M. A. Chidambaram Stadium,Chennai,2008-05-21 20:00:00,20:00,21 May 2008,23:00,Royal Challengers Bangalore
45,45th  T20I,Mumbai Indians VS Punjab Kings,Punjab Kings,Punjab Kings won by 1 run,Mumbai Indians,Punjab Kings,189/4 (20 Overs),PBKS,Punjab Kings,,,188/10 (20 Overs),MI,Mumbai Indians,Wankhede Stadium,Mumbai,2008-05-21 16:00:00,16:00,21 May 2008,23:00,Punjab Kings
44,44th  T20I,Kolkata Knight Riders VS Rajasthan Royals,Rajasthan Royals,Rajasthan Royals won by 6 wickets,Kolkata Knight Riders,Rajasthan Royals,147/8 (20 Overs),KKR,Kolkata Knight Riders,,,150/4 (16.3 Overs),RR,Rajasthan Royals,Eden Gardens,Kolkata,2008-05-20 20:00:00,20:00,20 May 2008,23:00,Rajasthan Royals
43,43rd  T20I,Royal Challengers Bangalore VS Delhi Daredevils,Delhi Daredevils,Delhi Daredevils won by 5 wickets,Royal Challengers Bangalore,Delhi Daredevils,154/7 (20 Overs),RCB,Royal Challengers Bangalore,,,158/5 (18.2 Overs),DD,Delhi Daredevils,M. Chinnaswamy Stadium,Bengaluru,2008-05-19 20:00:00,20:00,19 May 2008,23:00,Delhi Daredevils
42,42nd  T20I,Deccan Chargers VS Mumbai Indians,Mumbai Indians,Mumbai Indians won by 25 runs,Deccan Chargers,Mumbai Indians,178/7 (20 Overs),MI,Mumbai Indians,,,153/7 (20 Overs),DEC,Deccan Chargers,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,2008-05-18 20:00:00,20:00,18 May 2008,23:00,Mumbai Indians
41,41st T20I,Kolkata Knight Riders VS Chennai Super Kings,Chennai Super Kings,CSK won by 3 runs (D/L method),Kolkata Knight Riders,Chennai Super Kings,149/5 (20 Overs),KKR,Kolkata Knight Riders,,,55/0 (8 Overs),CSK,Chennai Super Kings,Eden Gardens,Kolkata,2008-05-18 16:00:00,16:00,18 May 2008,23:00,Csk
40,40th  T20I,Delhi Daredevils VS Punjab Kings,Punjab Kings,Kings XI Punjab won by 6 runs (D/L method),Delhi Daredevils,Punjab Kings,118/4 (11 Overs),DD,Delhi Daredevils,,,94/3 (8 Overs),PBKS,Punjab Kings,Arun Jaitley Stadium,Delhi,2008-05-17 20:00:00,20:00,17 May 2008,23:00,Kings Xi Punjab
39,39th  T20I,Rajasthan Royals VS Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals won by 65 runs,Rajasthan Royals,Royal Challengers Bangalore,197/1 (20 Overs),RR,Rajasthan Royals,,,132/9 (20 Overs),RCB,Royal Challengers Bangalore,Sawai Mansingh Stadium,Jaipur,2008-05-17 16:00:00,16:00,17 May 2008,23:00,Rajasthan Royals
38,38th  T20I,Mumbai Indians VS Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians won by 8 wickets,Mumbai Indians,Kolkata Knight Riders,67/10 (15.2 Overs),KKR,Kolkata Knight Riders,,,68/2 (5.3 Overs),MI,Mumbai Indians,Wankhede Stadium,Mumbai,2008-05-16 20:00:00,20:00,16 May 2008,23:00,Mumbai Indians
37,37th  T20I,Delhi Daredevils VS Deccan Chargers,Deccan Chargers,Delhi Daredevils won by 12 runs,Delhi Daredevils,Deccan Chargers,194/4 (20 Overs),DD,Delhi Daredevils,,,182/9 (20 Overs),DEC,Deccan Chargers,Arun Jaitley Stadium,Delhi,2008-05-15 20:00:00,20:00,15 May 2008,23:00,Delhi Daredevils
36,36th  T20I,Mumbai Indians VS Chennai Super Kings,Chennai Super Kings,Mumbai Indians won by 9 wickets,Mumbai Indians,Chennai Super Kings,156/6 (20 Overs),CSK,Chennai Super Kings,,,158/1 (13.5 Overs),MI,Mumbai Indians,Wankhede Stadium,Mumbai,2008-05-14 20:00:00,20:00,14 May 2008,23:00,Mumbai Indians
35,35th  T20I,Kolkata Knight Riders VS Delhi Daredevils,Delhi Daredevils,Kolkata Knight Riders won by 23 runs,Kolkata Knight Riders,Delhi Daredevils,133/6 (20 Overs),KKR,Kolkata Knight Riders,,,110/10 (17.5 Overs),DD,Delhi Daredevils,Eden Gardens,Kolkata,2008-05-13 20:00:00,20:00,13 May 2008,23:00,Kolkata Knight Riders
34,34th  T20I,Punjab Kings VS Royal Challengers Bangalore,Royal Challengers Bangalore,Punjab Kings won by 9 wickets,Punjab Kings,Royal Challengers Bangalore,143/8 (20 Overs),RCB,Royal Challengers Bangalore,,,144/1 (15.4 Overs),PBKS,Punjab Kings,IS Bindra Stadium,Mohali,2008-05-12 20:00:00,20:00,12 May 2008,23:00,Punjab Kings
33,33rd  T20I,Rajasthan Royals VS Delhi Daredevils,Delhi Daredevils,Rajasthan Royals won by 3 wickets,Rajasthan Royals,Delhi Daredevils,156/7 (20 Overs),DD,Delhi Daredevils,,,159/7 (19.1 Overs),RR,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2008-05-11 20:00:00,20:00,11 May 2008,23:00,Rajasthan Royals
32,32nd  T20I,Deccan Chargers VS Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders won by 23 runs,Deccan Chargers,Kolkata Knight Riders,204/4 (20 Overs),KKR,Kolkata Knight Riders,,,181/7 (20 Overs),DEC,Deccan Chargers,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,2008-05-11 16:00:00,16:00,11 May 2008,23:00,Kolkata Knight Riders
31,31st T20I,Chennai Super Kings VS Punjab Kings,Punjab Kings,Chennai Super Kings won by 18 runs,Chennai Super Kings,Punjab Kings,181/4 (20 Overs),CSK,Chennai Super Kings,,,163/9 (20 Overs),PBKS,Punjab Kings,M. A. Chidambaram Stadium,Chennai,2008-05-10 20:00:00,20:00,10 May 2008,23:00,Chennai Super Kings
