MatchRow,TossTeam,HomeTeamName,AwayTeamName,1Summary,FirstBattingTeamName,RevisedOver,RevisedTarget,2Summary,SecondBattingTeamName,GroundName,city,MATCH_COMMENCE_START_DATE,MatchTime,MatchEndDate,MatchEndTime,Year,MatchName1,MatchName2,Winner,WinDetails,Runs1,Wickets1,Overs1,Runs2,Wickets2,Overs2
59.0,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,163/5 (20 Overs),Chennai Super Kings,0.0,0.0,164/7 (20 Overs),Rajasthan Royals,DY Patil Stadium,Navi Mumbai,2008-06-01,20:00,2008-06-01,23:00,2008,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,won by 3 wickets,163.0,5.0,20.0,164.0,7.0,20.0
58.0,Punjab Kings,Chennai Super Kings,Punjab Kings,112/8 (20 Overs),Punjab Kings,0.0,0.0,116/1 (14.5 Overs),Chennai Super Kings,Wankhede Stadium,Mumbai,2008-05-31,20:00,2008-05-31,23:00,2008,Chennai Super Kings,Punjab Kings,Chennai Super Kings,won by 9 wickets,112.0,8.0,20.0,116.0,1.0,14.5
57.0,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,192/9 (20 Overs),Rajasthan Royals,0.0,0.0,87/10 (16.1 Overs),Delhi Capitals,Wankhede Stadium,Mumbai,2008-05-30,20:00,2008-05-30,23:00,2008,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,won by 105 runs,192.0,9.0,20.0,87.0,10.0,16.1
56.0,Rajasthan Royals,Punjab Kings,Rajasthan Royals,221/3 (20 Overs),Punjab Kings,0.0,0.0,180/7 (20 Overs),Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,Mohali,2008-05-28,20:00,2008-05-28,23:00,2008,Punjab Kings,Rajasthan Royals,Punjab Kings,won by 41 runs,221.0,3.0,20.0,180.0,7.0,20.0
55.0,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,122/9 (18 Overs),Royal Challengers Bangalore,0.0,0.0,126/1 (16 Overs),Mumbai Indians,M. Chinnaswamy Stadium,Bengaluru,2008-05-28,16:00,2008-05-28,23:00,2008,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,won by 9 wickets,122.0,9.0,18.0,126.0,1.0,16.0
54.0,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,147/8 (20 Overs),Deccan Chargers,0.0,0.0,148/3 (19.2 Overs),Chennai Super Kings,Rajiv Gandhi International Stadium,Hyderabad,2008-05-27,20:00,2008-05-27,23:00,2008,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,won by 7 wickets,147.0,8.0,20.0,148.0,3.0,19.2
53.0,Mumbai Indians,Rajasthan Royals,Mumbai Indians,145/7 (20 Overs),Mumbai Indians,0.0,0.0,146/5 (20 Overs),Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,2008-05-26,20:00,2008-05-26,23:00,2008,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,won by 5 wickets,145.0,7.0,20.0,146.0,5.0,20.0
52.0,Punjab Kings,Kolkata Knight Riders,Punjab Kings,174/6 (20 Overs),Punjab Kings,0.0,0.0,175/7 (19.4 Overs),Kolkata Knight Riders,Eden Gardens,Kolkata,2008-05-25,20:00,2008-05-25,23:00,2008,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,won by 3 wickets,174.0,6.0,20.0,175.0,7.0,19.4
51.0,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,165/10 (20 Overs),Deccan Chargers,0.0,0.0,171/5 (19 Overs),Royal Challengers Bangalore,Rajiv Gandhi International Stadium,Hyderabad,2008-05-25,16:00,2008-05-25,23:00,2008,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,won by 5 wickets,165.0,10.0,20.0,171.0,5.0,19.0
50.0,Mumbai Indians,Delhi Capitals,Mumbai Indians,180/8 (20 Overs),Mumbai Indians,0.0,0.0,179/5 (19.5 Overs),Delhi Capitals,Arun Jaitley Stadium,Delhi,2008-05-24,20:00,2008-05-24,23:00,2008,Delhi Capitals,Mumbai Indians,Delhi Capitals,won by 5 wickets,180.0,8.0,20.0,179.0,5.0,19.5
