Name,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
David Warner,14,27-10-1986,SRH,Sunrisers Hyderabad,14,562,359,156.54,65,21,13,1,7,0,91,43.23,Australia,lhb,Overseas,False
Lendl Simmons,13,25-1-1985,MI,Mumbai Indians,13,540,441,122.44,56,21,12,1,6,0,71,45.0,West Indies,rhb,Overseas,True
Ajinkya Rahane,14,6-6-1988,RR,Rajasthan Royals,13,540,413,130.75,53,13,11,2,4,0,91*,49.09,India,rhb,Indian,True
AB de Villiers,16,17-2-1984,RCB,Royal Challengers Bangalore,14,513,293,175.08,60,22,11,3,2,1,133*,46.63,South Africa,rhb,Overseas,True
Virat Kohli,16,5-11-1988,RCB,Royal Challengers Bangalore,16,505,386,130.82,35,23,11,5,3,0,82*,45.9,India,rhb,Indian,True
Chris Gayle,14,21-9-1979,RCB,Royal Challengers Bangalore,14,491,333,147.44,39,38,12,2,2,1,117,40.91,West Indies,lhb,Overseas,False
Rohit Sharma,16,30-4-1987,MI,Mumbai Indians,16,482,333,144.74,41,21,14,2,3,0,98*,34.42,India,rhb,Indian,True
Shreyas Iyer,14,6-12-1994,DC,Delhi Capitals,14,439,342,128.36,41,21,13,1,4,0,83,33.76,India,rhb,Indian,True
Brendon McCullum,14,27-9-1981,CSK,Chennai Super Kings,14,436,280,155.71,51,23,13,1,2,1,100*,33.53,New Zealand,rhb,Overseas,True
Kieron Pollard,16,12-5-1987,MI,Mumbai Indians,14,419,256,163.67,28,28,11,3,2,0,70,38.09,West Indies,rhb,Overseas,True
JP Duminy,14,14-4-1984,DC,Delhi Capitals,13,414,315,131.42,27,20,10,3,4,0,78*,41.4,South Africa,lhb,Overseas,False
Dwayne Smith,16,12-4-1983,CSK,Chennai Super Kings,16,399,335,119.1,52,16,16,0,2,0,62,24.93,West Indies,rhb,Overseas,True
Faf du Plessis,17,13-7-1984,CSK,Chennai Super Kings,15,380,304,125.0,37,5,13,2,1,0,55,29.23,South Africa,rhb,Overseas,True
Suresh Raina,17,27-11-1986,CSK,Chennai Super Kings,17,374,304,123.02,31,16,15,2,2,0,62,24.93,India,lhb,Indian,False
MS Dhoni,17,7-7-1981,CSK,Chennai Super Kings,17,372,305,121.96,27,17,12,5,1,0,53,31.0,India,rhb,Indian,True
Robin Uthappa,13,11-11-1985,KKR,Kolkata Knight Riders,13,364,277,131.4,42,7,12,1,1,0,80*,30.33,India,rhb,Indian,True
David Miller,13,10-6-1989,PBKS,Punjab Kings,13,357,266,134.21,21,21,11,2,2,0,89*,32.45,South Africa,lhb,Overseas,False
Shikhar Dhawan,14,5-12-1985,SRH,Sunrisers Hyderabad,14,353,286,123.42,45,6,13,1,3,0,54,27.15,India,lhb,Indian,False
Shane Watson,10,17-6-1981,RR,Rajasthan Royals,9,347,257,135.01,37,14,8,1,1,1,104*,43.37,Australia,rhb,Overseas,True
Parthiv Patel,14,9-3-1985,MI,Mumbai Indians,14,339,246,137.8,47,5,13,1,2,0,59,26.07,India,lhb,Indian,False
Gautam Gambhir,13,14-10-1981,KKR,Kolkata Knight Riders,13,327,278,117.62,41,4,13,0,3,0,60,25.15,India,lhb,Indian,False
Andre Russell,13,29-4-1988,KKR,Kolkata Knight Riders,11,326,169,192.89,35,19,9,2,3,0,66,36.22,West Indies,rhb,Overseas,True
Yusuf Pathan,13,17-11-1982,KKR,Kolkata Knight Riders,12,312,231,135.06,29,12,7,5,1,0,52,44.57,India,rhb,Indian,True
Steve Smith,14,2-6-1989,RR,Rajasthan Royals,12,293,221,132.57,33,3,11,1,2,0,79*,26.63,Australia,rhb,Overseas,True
Moises Henriques,9,1-2-1987,SRH,Sunrisers Hyderabad,9,287,211,136.01,19,13,7,2,2,0,74*,41.0,Australia,rhb,Overseas,True
Ambati Rayudu,15,23-9-1985,MI,Mumbai Indians,14,281,193,145.59,18,16,9,5,1,0,53*,31.22,India,rhb,Indian,True
George Bailey,13,7-9-1982,PBKS,Punjab Kings,13,259,190,136.31,22,7,11,2,2,0,61*,23.54,Australia,rhb,Overseas,True
Murali Vijay,11,1-4-1984,PBKS,Punjab Kings,11,251,228,110.08,27,8,11,0,0,0,39,22.81,India,rhb,Indian,True
Wriddhiman Saha,14,24-10-1984,PBKS,Punjab Kings,13,249,197,126.39,16,10,13,0,0,0,42,19.15,India,rhb,Indian,True
Yuvraj Singh,14,12-12-1981,DC,Delhi Capitals,13,248,210,118.09,23,10,13,0,2,0,57,19.07,India,lhb,Indian,False
