Name,RightHandedBat,Nationality,TeamCode,TeamName,Matches,Innings,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled
Mohammad Shami,True,Indian,GT,Gujarat Titans,17,17,522,193,18.64,13.92,8.03,65.0,57,21,28,11/4,11/4,2,2,0,390
Mohit Sharma,True,Indian,GT,Gujarat Titans,14,14,361,87,13.37,9.81,8.17,44.1,28,16,27,10/5,10/5,0,2,1,265
Rashid Khan,True,Overseas,GT,Gujarat Titans,17,17,552,134,20.44,14.88,8.23,67.0,40,26,27,30/4,30/4,0,1,0,402
Piyush Chawla,False,Indian,MI,Mumbai Indians,16,16,495,121,22.5,16.63,8.11,61.0,43,19,22,22/3,22/3,0,0,0,366
Yuzvendra Chahal,True,Indian,RR,Rajasthan Royals,14,14,432,97,20.57,15.09,8.17,52.5,31,15,21,17/4,17/4,0,3,0,317
Tushar Deshpande,False,Indian,CSK,Chennai Super Kings,16,16,564,137,26.85,16.23,9.92,56.5,56,28,21,45/3,45/3,0,0,0,341
Ravindra Jadeja,False,Indian,CSK,Chennai Super Kings,16,16,431,107,21.55,17.1,7.56,57.0,22,20,20,20/3,20/3,0,0,0,342
Varun Chakaravarthy,True,Indian,KKR,Kolkata Knight Riders,14,14,429,124,21.45,15.8,8.14,52.4,36,22,20,15/4,15/4,1,1,0,316
Mohammed Siraj,True,Indian,RCB,Royal Challengers Bangalore,14,14,376,161,19.78,15.78,7.52,50.0,47,12,19,21/4,21/4,0,1,0,300
Matheesha Pathirana,True,Overseas,CSK,Chennai Super Kings,12,12,371,104,19.52,14.63,8.0,46.2,31,9,19,15/3,15/3,0,0,0,278
Arshdeep Singh,False,Indian,PBKS,Punjab Kings,14,14,493,114,29.0,17.94,9.69,50.5,62,16,17,29/4,29/4,0,1,0,305
Ravi Bishnoi,True,Indian,LSG,Lucknow Super Giants,15,14,391,97,24.43,18.93,7.74,50.3,23,16,16,28/3,28/3,0,0,0,303
Noor Ahmad,True,Overseas,GT,Gujarat Titans,13,13,369,103,23.06,17.68,7.82,47.1,29,13,16,37/3,37/3,0,0,0,283
Bhuvneshwar Kumar,True,Indian,SRH,Sunrisers Hyderabad,14,14,425,128,26.56,19.12,8.33,51.0,51,11,16,30/5,30/5,1,0,1,306
Ravichandran Ashwin,True,Indian,RR,Rajasthan Royals,13,13,368,90,26.28,21.0,7.51,49.0,20,14,14,23/2,23/2,0,0,0,294
Akash Madhwal,True,Indian,MI,Mumbai Indians,8,8,219,53,15.64,10.92,8.58,25.3,16,9,14,5/5,5/5,0,1,1,153
Jason Behrendorff,True,Overseas,MI,Mumbai Indians,12,12,387,92,27.64,18.0,9.21,42.0,38,18,14,23/3,23/3,0,0,0,252
Harshal Patel,True,Indian,RCB,Royal Challengers Bangalore,13,13,454,87,32.42,20.14,9.65,47.0,37,21,14,32/3,32/3,0,0,0,282
Trent Boult,True,Overseas,RR,Rajasthan Royals,10,10,312,107,24.0,17.53,8.21,38.0,40,8,13,29/3,29/3,3,0,0,228
Deepak Chahar,True,Indian,CSK,Chennai Super Kings,10,10,297,82,22.84,15.69,8.73,34.0,31,11,13,22/3,22/3,0,0,0,204
Nathan Ellis,True,Overseas,PBKS,Punjab Kings,10,10,339,68,26.07,17.53,8.92,38.0,28,13,13,30/4,30/4,0,1,0,228
Yash Thakur,True,Indian,LSG,Lucknow Super Giants,9,9,289,70,22.23,14.69,9.07,31.5,19,16,13,37/4,37/4,0,1,0,191
Mayank Markande,True,Indian,SRH,Sunrisers Hyderabad,10,10,300,76,25.0,19.0,7.89,38.0,25,12,12,15/4,15/4,0,1,0,228
Mitchell Marsh,True,Overseas,DC,Delhi Capitals,9,8,170,36,14.16,10.08,8.42,20.1,8,8,12,27/4,27/4,1,1,0,121
Axar Patel,False,Indian,DC,Delhi Capitals,14,13,338,105,30.72,25.63,7.19,47.0,23,15,11,13/2,13/2,0,0,0,282
Naveen-ul-Haq,True,Overseas,LSG,Lucknow Super Giants,8,7,219,68,19.9,15.27,7.82,28.0,17,9,11,38/4,38/4,0,1,0,168
Sunil Narine,False,Overseas,KKR,Kolkata Knight Riders,14,14,383,87,34.81,26.18,7.97,48.0,26,15,11,33/3,33/3,0,0,0,288
Maheesh Theekshana,True,Overseas,CSK,Chennai Super Kings,13,13,392,87,35.63,26.72,8.0,49.0,31,13,11,23/2,23/2,1,0,0,294
Mark Wood,True,Overseas,LSG,Lucknow Super Giants,4,4,130,48,11.81,8.72,8.12,16.0,9,10,11,14/5,14/5,1,0,1,96
Kuldeep Yadav,False,Indian,DC,Delhi Capitals,14,14,361,86,36.1,29.4,7.36,49.0,14,18,10,15/2,15/2,1,0,0,294
Suyash Sharma,True,Indian,KKR,Kolkata Knight Riders,11,11,321,83,32.1,23.4,8.23,39.0,26,16,10,30/3,30/3,0,0,0,234
Ishant Sharma,True,Indian,DC,Delhi Capitals,8,8,206,69,20.6,15.0,8.24,25.0,30,3,10,19/2,19/2,0,0,0,150
Sandeep Sharma,True,Indian,RR,Rajasthan Royals,12,12,396,95,39.6,27.6,8.6,46.0,40,13,10,25/2,25/2,0,0,0,276
Anrich Nortje,True,Overseas,DC,Delhi Capitals,10,10,364,96,36.4,24.0,9.1,40.0,33,17,10,20/2,20/2,0,0,0,240
T Natarajan,False,Indian,SRH,Sunrisers Hyderabad,12,12,410,75,41.0,27.0,9.11,45.0,39,14,10,23/2,23/2,0,0,0,270
Marco Jansen,True,Overseas,SRH,Sunrisers Hyderabad,8,8,267,69,26.7,16.2,9.88,27.0,30,12,10,16/2,16/2,1,0,0,162
Sam Curran,False,Indian,PBKS,Punjab Kings,14,14,489,85,48.9,28.7,10.22,47.5,50,21,10,31/3,31/3,0,0,0,287
Karn Sharma,False,Indian,RCB,Royal Challengers Bangalore,7,7,223,39,22.3,12.9,10.37,21.3,13,17,10,19/2,19/2,0,0,0,129
Krunal Pandya,False,Indian,LSG,Lucknow Super Giants,15,12,313,96,34.77,28.0,7.45,42.0,31,11,9,18/3,18/3,0,0,0,252
Moeen Ali,False,Overseas,CSK,Chennai Super Kings,15,11,195,57,21.66,17.33,7.5,26.0,8,12,9,26/4,26/4,0,1,0,156
Harpreet Brar,False,Indian,PBKS,Punjab Kings,13,11,218,58,24.22,18.11,8.02,27.1,21,7,9,30/4,30/4,0,1,0,163
Wanindu Hasaranga,True,Overseas,RCB,Royal Challengers Bangalore,8,8,258,55,28.66,19.33,8.89,29.0,17,15,9,24/2,24/2,0,0,0,174
Khaleel Ahmed,True,Indian,DC,Delhi Capitals,9,9,301,89,33.44,22.0,9.12,33.0,31,14,9,24/2,24/2,2,0,0,198
Wayne Parnell,False,Overseas,RCB,Royal Challengers Bangalore,7,7,236,56,26.22,16.77,9.37,25.1,22,13,9,10/3,10/3,0,0,0,151
Vyshak Vijaykumar,True,Indian,RCB,Royal Challengers Bangalore,7,7,253,40,28.11,16.0,10.54,24.0,20,14,9,20/3,20/3,0,0,0,144
