Name,PlayerDOB,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled,TeamCode,TeamName,Innings,Matches,Nationality,RightHandedBat
Virat Kohli,5-11-1988,973.0,640.0,152.03,83.0,38.0,12.0,4.0,7.0,4.0,113,81.08,India,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,16.0,16.0,Indian,True
David Warner,27-10-1986,848.0,560.0,151.42,88.0,31.0,14.0,3.0,9.0,0.0,93*,60.57,Australia,lhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,17.0,17.0,Overseas,False
AB de Villiers,17-2-1984,687.0,407.0,168.79,57.0,37.0,13.0,3.0,6.0,1.0,129*,52.84,South Africa,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,16.0,16.0,Overseas,True
Gautam Gambhir,14-10-1981,501.0,411.0,121.89,54.0,6.0,13.0,2.0,5.0,0.0,90*,38.53,India,lhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,15.0,15.0,Indian,False
Shikhar Dhawan,5-12-1985,501.0,429.0,116.78,51.0,8.0,13.0,4.0,4.0,0.0,82*,38.53,India,lhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,17.0,17.0,Indian,False
Rohit Sharma,30-4-1987,489.0,368.0,132.88,49.0,16.0,11.0,3.0,5.0,0.0,85*,44.45,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,14.0,14.0,Indian,True
Ajinkya Rahane,6-6-1988,480.0,379.0,126.64,54.0,9.0,11.0,3.0,6.0,0.0,74,43.63,India,rhb,,,,,,,,,,,,,,,,RPS,Rising Pune Supergiant,14.0,14.0,Indian,True
Murali Vijay,1-4-1984,453.0,364.0,124.45,50.0,10.0,13.0,1.0,5.0,0.0,89,34.84,India,rhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,14.0,14.0,Indian,True
Quinton de Kock,17-12-1992,445.0,327.0,136.08,52.0,13.0,12.0,1.0,3.0,1.0,108,37.08,South Africa,lhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,13.0,13.0,Overseas,False
Suresh Raina,27-11-1986,399.0,312.0,127.88,39.0,10.0,14.0,1.0,3.0,0.0,75,28.5,India,lhb,,,,,,,,,,,,,,,,GL,Gujarat Lions,15.0,15.0,Indian,False
KL Rahul,18-4-1992,397.0,271.0,146.49,37.0,16.0,9.0,3.0,4.0,0.0,68*,44.11,India,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,12.0,14.0,Indian,True
Robin Uthappa,11-11-1985,394.0,289.0,136.33,45.0,8.0,15.0,0.0,3.0,0.0,72,26.26,India,rhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,15.0,15.0,Indian,True
Aaron Finch,17-11-1986,393.0,299.0,131.43,45.0,11.0,10.0,2.0,5.0,0.0,74,39.3,Australia,rhb,,,,,,,,,,,,,,,,GL,Gujarat Lions,12.0,13.0,Overseas,True
Yusuf Pathan,17-11-1982,361.0,248.0,145.56,33.0,13.0,5.0,8.0,3.0,0.0,63*,72.2,India,rhb,33.0,14.0,33.0,36.0,5.5,6,33.0,13.0,1.0,3/20,3/20,0.0,0.0,0.0,36.0,KKR,Kolkata Knight Riders,13.0,15.0,Indian,True
Karun Nair,6-12-1991,357.0,297.0,120.2,40.0,6.0,10.0,2.0,3.0,0.0,83*,35.7,India,rhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,12.0,14.0,Indian,True
Brendon McCullum,27-9-1981,354.0,262.0,135.11,38.0,16.0,16.0,0.0,1.0,0.0,60,22.12,New Zealand,rhb,,,,,,,,,,,,,,,,GL,Gujarat Lions,16.0,16.0,Overseas,True
Dinesh Karthik,1-6-1985,335.0,266.0,125.93,38.0,3.0,13.0,2.0,3.0,0.0,53,25.76,India,rhb,,,,,,,,,,,,,,,,GL,Gujarat Lions,15.0,16.0,Indian,True
Ambati Rayudu,23-9-1985,334.0,278.0,120.14,28.0,12.0,11.0,1.0,2.0,0.0,65,30.36,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,12.0,13.0,Indian,True
Dwayne Smith,12-4-1983,324.0,221.0,146.6,35.0,16.0,11.0,1.0,3.0,0.0,73,29.45,West Indies,rhb,153.0,40.0,19.12,13.5,8.5,18,35.0,16.0,8.0,4/8,4/8,0.0,1.0,0.0,108.0,GL,Gujarat Lions,12.0,12.0,Overseas,True
Sanju Samson,11-11-1994,291.0,259.0,112.35,20.0,8.0,11.0,3.0,1.0,0.0,60,26.45,India,rhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,14.0,14.0,Indian,True
MS Dhoni,7-7-1981,284.0,210.0,135.23,18.0,14.0,7.0,5.0,1.0,0.0,64*,40.57,India,rhb,,,,,,,,,,,,,,,,RPS,Rising Pune Supergiant,12.0,14.0,Indian,True
Steve Smith,2-6-1989,270.0,176.0,153.4,27.0,8.0,6.0,1.0,0.0,1.0,101,45.0,Australia,rhb,,,,,,,,,,,,,,,,RPS,Rising Pune Supergiant,7.0,8.0,Overseas,True
Wriddhiman Saha,24-10-1984,270.0,212.0,127.35,29.0,1.0,11.0,1.0,2.0,0.0,56,24.54,India,rhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,12.0,12.0,Indian,True
Jos Buttler,8-9-1990,255.0,184.0,138.58,23.0,11.0,11.0,3.0,0.0,0.0,41,23.18,England,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,14.0,14.0,Overseas,True
Manish Pandey,10-9-1989,248.0,183.0,135.51,17.0,9.0,8.0,3.0,2.0,0.0,52,31.0,India,rhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,11.0,12.0,Indian,True
Krunal Pandya,24-3-1991,237.0,124.0,191.12,22.0,13.0,6.0,3.0,1.0,0.0,86,39.5,India,lhb,236.0,53.0,39.33,31.16,7.57,31,22.0,13.0,6.0,3/14,3/14,0.0,0.0,0.0,186.0,MI,Mumbai Indians,9.0,12.0,Indian,False
Yuvraj Singh,12-12-1981,236.0,179.0,131.84,22.0,13.0,9.0,1.0,0.0,0.0,44,26.22,India,lhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,10.0,10.0,Indian,False
Chris Gayle,21-9-1979,227.0,150.0,151.33,17.0,21.0,10.0,0.0,2.0,0.0,76,22.7,West Indies,lhb,63.0,21.0,31.5,30.0,6.3,10,17.0,21.0,2.0,3/21,3/21,0.0,0.0,0.0,60.0,RCB,Royal Challengers Bangalore,10.0,10.0,Overseas,False
Kieron Pollard,12-5-1987,207.0,144.0,143.75,11.0,16.0,8.0,4.0,1.0,0.0,51*,25.87,West Indies,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,12.0,13.0,Overseas,True
Faf du Plessis,13-7-1984,206.0,162.0,127.16,17.0,9.0,6.0,0.0,2.0,0.0,69,34.33,South Africa,rhb,,,,,,,,,,,,,,,,RPS,Rising Pune Supergiant,6.0,6.0,Overseas,True
Rishabh Pant,4-10-1997,198.0,152.0,130.26,19.0,6.0,8.0,2.0,1.0,0.0,69,24.75,India,lhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,10.0,10.0,Indian,False
Chris Morris,30-4-1987,195.0,109.0,178.89,15.0,12.0,3.0,4.0,1.0,0.0,82*,65.0,South Africa,rhb,308.0,103.0,23.69,20.3,7.0,44,15.0,12.0,13.0,4/23,4/23,0.0,0.0,0.0,264.0,DC,Delhi Capitals,7.0,12.0,Overseas,True
