MatchRow,MatchOrder,MatchName,TossTeam,Comments,HomeTeamName,AwayTeamName,1Summary,FirstBattingTeamCode,FirstBattingTeamName,RevisedOver,RevisedTarget,2Summary,SecondBattingTeamCode,SecondBattingTeamName,GroundName,city,MATCH_COMMENCE_START_DATE,MatchTime,MatchEndDate,MatchEndTime,Winner
60,60th  T20,Chennai Super Kings VS Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings won by 27 runs,Chennai Super Kings,Kolkata Knight Riders,192/3 (20 Overs),CSK,Chennai Super Kings,,,165/9 (20 Overs),KKR,Kolkata Knight Riders,Dubai International Stadium,Dubai,2021-10-15 18:00:00,18:00,15 Oct 2021,23:00,Chennai Super Kings
59,59th  T20,Kolkata Knight Riders VS Delhi Capitals,Delhi Capitals,Kolkata Knight Riders won by 3 wickets,Kolkata Knight Riders,Delhi Capitals,135/5 (20 Overs),DC,Delhi Capitals,,,136/7 (19.5 Overs),KKR,Kolkata Knight Riders,Sharjah Cricket Stadium,Sharjah,2021-10-13 18:00:00,18:00,13 Oct 2021,23:00,Kolkata Knight Riders
58,58th  T20,Royal Challengers Bangalore VS Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders won by 4 wickets,Royal Challengers Bangalore,Kolkata Knight Riders,138/7 (20 Overs),RCB,Royal Challengers Bangalore,,,139/6 (19.4 Overs),KKR,Kolkata Knight Riders,Sharjah Cricket Stadium,Sharjah,2021-10-11 18:00:00,18:00,11 Oct 2021,23:00,Kolkata Knight Riders
57,57th  T20,Delhi Capitals VS Chennai Super Kings,Chennai Super Kings,Chennai Super Kings won by 4 wickets,Delhi Capitals,Chennai Super Kings,172/5 (20 Overs),DC,Delhi Capitals,,,173/6 (19.4 Overs),CSK,Chennai Super Kings,Dubai International Stadium,Dubai,2021-10-10 18:00:00,18:00,10 Oct 2021,23:00,Chennai Super Kings
55,55th  T20,Royal Challengers Bangalore VS Delhi Capitals,Delhi Capitals,Royal Challengers Bangalore won by 7 wickets,Royal Challengers Bangalore,Delhi Capitals,164/5 (20 Overs),DC,Delhi Capitals,,,166/3 (20 Overs),RCB,Royal Challengers Bangalore,Dubai International Stadium,Dubai,2021-10-08 18:00:00,18:00,8 Oct 2021,23:00,Royal Challengers Bangalore
56,56th  T20,Sunrisers Hyderabad VS Mumbai Indians,Mumbai Indians,Mumbai Indians won by 42 runs,Sunrisers Hyderabad,Mumbai Indians,235/9 (20 Overs),MI,Mumbai Indians,,,193/8 (20 Overs),SRH,Sunrisers Hyderabad,Zayed Cricket Stadium,Abu Dhabi,2021-10-08 18:00:00,18:00,8 Oct 2021,23:00,Mumbai Indians
54,54th  T20,Kolkata Knight Riders VS Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders won by 86 runs,Kolkata Knight Riders,Rajasthan Royals,171/4 (20 Overs),KKR,Kolkata Knight Riders,,,85/10 (16.1 Overs),RR,Rajasthan Royals,Sharjah Cricket Stadium,Sharjah,2021-10-07 18:00:00,18:00,7 Oct 2021,23:00,Kolkata Knight Riders
53,53rd  T20,Chennai Super Kings VS Punjab Kings,Punjab Kings,Punjab Kings won by 6 wickets,Chennai Super Kings,Punjab Kings,134/6 (20 Overs),CSK,Chennai Super Kings,,,139/4 (13 Overs),PBKS,Punjab Kings,Dubai International Stadium,Dubai,2021-10-07 14:00:00,14:00,7 Oct 2021,23:00,Punjab Kings
52,52nd  T20,Royal Challengers Bangalore VS Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad won by 4 runs,Royal Challengers Bangalore,Sunrisers Hyderabad,141/7 (20 Overs),SRH,Sunrisers Hyderabad,,,137/6 (20 Overs),RCB,Royal Challengers Bangalore,Zayed Cricket Stadium,Abu Dhabi,2021-10-06 18:00:00,18:00,6 Oct 2021,23:00,Sunrisers Hyderabad
51,51st T20,Rajasthan Royals VS Mumbai Indians,Mumbai Indians,Mumbai Indians won by 8 wickets,Rajasthan Royals,Mumbai Indians,90/9 (20 Overs),RR,Rajasthan Royals,,,94/2 (8.2 Overs),MI,Mumbai Indians,Sharjah Cricket Stadium,Sharjah,2021-10-05 18:00:00,18:00,5 Oct 2021,23:00,Mumbai Indians
