TeamCode,TeamName,Matches,Wins,Loss,Tied,NoResult,Points,Draw,ForTeams,AgainstTeam,NetRunRate,IsQualified,Performance
GT,Gujarat Titans,14,10,4,0,0,20,0,2339/278.1,2216/273.5,0.316,1.0,"L,L,W,W,L"
RR,Rajasthan Royals,14,9,5,0,0,18,0,2464/279.2,2351/275.5,0.298,1.0,"L,W,L,W,W"
LSG,Lucknow Super Giants,14,9,5,0,0,18,0,2355/279.1,2289/279.4,0.251,1.0,"W,W,L,L,W"
RCB,Royal Challengers Bangalore,14,8,6,0,0,16,0,2268/275.4,2260/266.3,-0.253,1.0,"L,W,W,L,W"
DC,Delhi Capitals,14,7,7,0,0,14,0,2341/266.0,2397/278.5,0.204,0.0,"W,L,W,W,L"
PBKS,Punjab Kings,14,7,7,0,0,14,0,2343/270.1,2252/263.3,0.126,0.0,"W,L,W,L,W"
KKR,Kolkata Knight Riders,14,6,8,0,0,12,0,2223/268.1,2249/276.1,0.146,0.0,"W,L,W,W,L"
SRH,Sunrisers Hyderabad,14,6,8,0,0,12,0,2197/261.3,2416/275.1,-0.379,0.0,"L,L,L,W,L"
CSK,Chennai Super Kings,14,4,10,0,0,8,0,2288/280.0,2254/269.1,-0.203,0.0,"L,W,L,L,L"
MI,Mumbai Indians,14,4,10,0,0,8,0,2217/273.2,2351/272.5,-0.506,0.0,"W,L,W,L,W"
