Name,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
Chris Gayle,12,21-9-1979,RCB,Royal Challengers Bangalore,12,608,332,183.13,57,44,9,3,3,2,107,67.55,West Indies,lhb,Overseas,False
Virat Kohli,16,5-11-1988,RCB,Royal Challengers Bangalore,16,557,460,121.08,55,16,12,4,4,0,71,46.41,India,rhb,Indian,True
Sachin Tendulkar,16,24-4-1973,MI,Mumbai Indians,16,553,488,113.31,67,5,13,3,2,1,100*,42.53,India,rhb,Indian,True
Shaun Marsh,14,9-7-1983,PBKS,Punjab Kings,13,504,344,146.51,52,20,12,1,4,0,95,42.0,Australia,lhb,Overseas,False
Michael Hussey,14,27-5-1975,CSK,Chennai Super Kings,14,492,414,118.84,53,6,12,2,4,0,83*,41.0,Australia,lhb,Overseas,False
Paul Valthaty,14,7-12-1983,PBKS,Punjab Kings,14,463,338,136.98,56,20,13,1,2,1,120*,35.61,India,rhb,Indian,True
Suresh Raina,16,27-11-1986,CSK,Chennai Super Kings,16,438,325,134.76,36,17,14,2,4,0,73*,31.28,India,lhb,Indian,False
Murali Vijay,16,1-4-1984,CSK,Chennai Super Kings,16,434,339,128.02,34,20,16,0,3,0,95,27.12,India,rhb,Indian,True
Virender Sehwag,11,20-10-1978,DC,Delhi Capitals,11,424,240,176.66,51,18,11,0,2,1,119,38.54,India,rhb,Indian,True
Jacques Kallis,15,16-10-1975,KKR,Kolkata Knight Riders,14,424,378,112.16,46,6,12,2,4,0,80*,35.33,South Africa,rhb,Overseas,True
Shikhar Dhawan,14,5-12-1985,DEC,Deccan Chargers,14,400,310,129.03,47,7,12,2,2,0,95*,33.33,India,lhb,Indian,False
Subramaniam Badrinath,16,30-8-1980,CSK,Chennai Super Kings,13,396,313,126.51,38,9,7,6,5,0,71*,56.57,India,rhb,Indian,True
Ambati Rayudu,16,23-9-1985,MI,Mumbai Indians,16,395,350,112.85,44,9,14,2,4,0,63*,28.21,India,rhb,Indian,True
MS Dhoni,16,7-7-1981,CSK,Chennai Super Kings,13,392,247,158.7,25,23,9,4,2,0,70*,43.55,India,rhb,Indian,True
Adam Gilchrist,14,14-11-1971,PBKS,Punjab Kings,14,383,295,129.83,41,18,14,0,2,1,106,27.35,Australia,lhb,Overseas,False
Gautam Gambhir,15,14-10-1981,KKR,Kolkata Knight Riders,15,378,317,119.24,44,3,11,4,2,0,75*,34.36,India,lhb,Indian,False
Rohit Sharma,16,30-4-1987,MI,Mumbai Indians,14,372,297,125.25,32,13,11,3,3,0,87,33.81,India,rhb,Indian,True
Manoj Tiwary,15,14-11-1985,KKR,Kolkata Knight Riders,14,359,325,110.46,26,14,7,7,1,0,61*,51.28,India,rhb,Indian,True
Kumar Sangakkara,13,27-10-1977,DEC,Deccan Chargers,13,358,293,122.18,44,5,13,0,1,0,65,27.53,Sri Lanka,lhb,Overseas,False
Brendon McCullum,13,27-9-1981,KTK,Kochi Tuskers Kerala,13,357,275,129.81,35,16,13,0,1,0,81,27.46,New Zealand,rhb,Overseas,True
Rahul Dravid,12,11-1-1973,RR,Rajasthan Royals,12,343,314,109.23,45,2,11,1,1,0,66,31.18,India,rhb,Indian,True
Yuvraj Singh,14,12-12-1981,PWI,Pune Warriors India,13,343,261,131.41,24,18,10,3,2,0,66*,34.3,India,lhb,Indian,False
Venugopal Rao,14,26-2-1982,DC,Delhi Capitals,14,336,280,120.0,30,13,12,2,1,0,60,28.0,India,rhb,Indian,True
Shane Watson,11,17-6-1981,RR,Rajasthan Royals,11,330,253,130.43,31,17,10,1,1,0,89*,33.0,Australia,rhb,Overseas,True
David Warner,13,27-10-1986,DC,Delhi Capitals,13,324,276,117.39,34,11,13,0,3,0,77,24.92,Australia,lhb,Overseas,False
AB de Villiers,16,17-2-1984,RCB,Royal Challengers Bangalore,13,312,243,128.39,21,14,9,4,2,0,65,34.66,South Africa,rhb,Overseas,True
Mahela Jayawardena,13,27-5-1977,KTK,Kochi Tuskers Kerala,13,299,257,116.34,35,5,13,0,3,0,76,23.0,Sri Lanka,rhb,Overseas,True
Jesse Ryder,13,6-8-1984,PWI,Pune Warriors India,13,292,197,148.22,37,11,13,0,2,0,60,22.46,New Zealand,lhb,Overseas,False
Brad Hodge,14,29-12-1974,KTK,Kochi Tuskers Kerala,14,285,236,120.76,26,9,8,6,1,0,51*,35.62,Australia,rhb,Overseas,True
Ravindra Jadeja,14,6-12-1988,KTK,Kochi Tuskers Kerala,12,283,228,124.12,20,14,9,3,0,0,47,31.44,India,lhb,Indian,False
Yusuf Pathan,15,17-11-1982,KKR,Kolkata Knight Riders,11,283,201,140.79,24,13,10,1,0,0,47*,28.3,India,rhb,Indian,True
Dinesh Karthik,14,1-6-1985,PBKS,Punjab Kings,13,282,220,128.18,32,7,11,2,1,0,69,25.63,India,rhb,Indian,True
Robin Uthappa,14,11-11-1985,PWI,Pune Warriors India,13,264,209,126.31,27,10,10,3,0,0,45,26.4,India,rhb,Indian,True
Sunny Sohal,11,10-11-1987,DEC,Deccan Chargers,10,249,191,130.36,25,10,10,0,2,0,62,24.9,United States of America,rhb,Overseas,True
Manish Pandey,10,10-9-1989,PWI,Pune Warriors India,9,246,227,108.37,28,6,9,0,1,0,59,27.33,India,rhb,Indian,True
Johan Botha,10,2-5-1982,RR,Rajasthan Royals,9,230,198,116.16,20,2,5,4,1,0,67*,46.0,South Africa,rhb,Overseas,True
Tillakaratne Dilshan,10,14-10-1976,RCB,Royal Challengers Bangalore,10,226,180,125.55,33,3,8,2,2,0,59*,28.25,Sri Lanka,rhb,Overseas,True
Bharat Chipli,14,27-1-1983,DEC,Deccan Chargers,13,207,170,121.76,21,4,8,5,1,0,61*,25.87,India,rhb,Indian,True
JP Duminy,10,14-4-1984,DEC,Deccan Chargers,10,205,174,117.81,9,8,10,0,1,0,55,20.5,South Africa,lhb,Overseas,False
Parthiv Patel,14,9-3-1985,KTK,Kochi Tuskers Kerala,13,202,183,110.38,25,2,10,3,0,0,37*,20.2,India,lhb,Indian,False
James Hopes,10,24-10-1978,DC,Delhi Capitals,8,196,158,124.05,22,3,5,3,2,0,55,39.2,Australia,rhb,Overseas,True
Dan Christian,14,4-5-1983,DEC,Deccan Chargers,13,190,159,119.49,9,7,11,2,0,0,30,17.27,Australia,rhb,Overseas,True
Saurabh Tiwary,16,30-12-1989,RCB,Royal Challengers Bangalore,13,187,188,99.46,13,5,8,5,0,0,42*,23.37,India,lhb,Indian,False
Dwaraka Ravi Teja,12,5-9-1987,DEC,Deccan Chargers,9,183,144,127.08,17,4,7,2,1,0,60,26.14,India,rhb,Indian,True
Ross Taylor,12,8-3-1984,RR,Rajasthan Royals,11,181,152,119.07,11,7,5,6,0,0,47*,36.2,New Zealand,rhb,Overseas,True
Ashok Menaria,13,29-10-1990,RR,Rajasthan Royals,10,180,152,118.42,10,10,9,1,0,0,34,20.0,India,lhb,Indian,False
Naman Ojha,14,20-7-1983,DC,Delhi Capitals,14,160,161,99.37,11,11,13,1,0,0,29,12.3,India,rhb,Indian,True
Irfan Pathan,14,27-10-1984,DC,Delhi Capitals,12,150,138,108.69,12,6,8,4,0,0,44*,18.75,India,lhb,Indian,False
Kieron Pollard,16,12-5-1987,MI,Mumbai Indians,13,146,133,109.77,12,6,10,3,0,0,28,14.6,West Indies,rhb,Overseas,True
Mayank Agarwal,8,16-2-1991,RCB,Royal Challengers Bangalore,7,141,120,117.5,16,4,7,0,0,0,41,20.14,India,rhb,Indian,True
Albie Morkel,15,10-6-1981,CSK,Chennai Super Kings,13,138,102,135.29,8,8,6,7,0,0,30*,23.0,South Africa,lhb,Overseas,False
Eoin Morgan,12,10-9-1986,KKR,Kolkata Knight Riders,9,137,117,117.09,17,3,9,0,1,0,66,15.22,England,lhb,Overseas,False
Andrew Symonds,11,9-6-1975,MI,Mumbai Indians,9,135,138,97.82,9,3,4,5,0,0,44*,33.75,Australia,rhb,Overseas,True
Aiden Blizzard,6,27-6-1984,MI,Mumbai Indians,6,120,87,137.93,21,2,6,0,1,0,51,20.0,Australia,lhb,Overseas,False
Ajinkya Rahane,10,6-6-1988,RR,Rajasthan Royals,7,120,98,122.44,12,2,6,1,1,0,52,20.0,India,rhb,Indian,True
Mithun Manhas,10,12-10-1979,PWI,Pune Warriors India,10,114,123,92.68,8,4,10,0,0,0,35,11.4,India,rhb,Indian,True
Yogesh Nagar,11,6-1-1990,DC,Delhi Capitals,10,111,100,111.0,6,6,7,3,0,0,23,15.85,India,rhb,Indian,True
Ryan ten Doeschate,6,30-6-1980,KKR,Kolkata Knight Riders,3,107,73,146.57,9,5,2,1,1,0,70*,53.5,Netherlands,rhb,Overseas,True
James Franklin,8,7-11-1980,MI,Mumbai Indians,5,107,78,137.17,10,2,2,3,0,0,45*,53.5,New Zealand,lhb,Overseas,False
Cameron White,6,18-8-1983,DEC,Deccan Chargers,6,104,109,95.41,6,2,4,2,0,0,31*,26.0,Australia,rhb,Overseas,True
Harbhajan Singh,15,3-7-1980,MI,Mumbai Indians,8,103,71,145.07,9,6,3,5,0,0,30,34.33,India,rhb,Indian,True
Davy Jacobs,6,4-11-1982,MI,Mumbai Indians,6,92,88,104.54,10,4,6,0,0,0,32,15.33,South Africa,rhb,Overseas,True
Ryan McLaren,6,9-2-1983,PBKS,Punjab Kings,4,90,96,93.75,7,1,3,1,1,0,51*,30.0,South Africa,lhb,Overseas,False
Srikkanth Anirudha,9,14-4-1987,CSK,Chennai Super Kings,5,83,74,112.16,6,3,4,1,1,0,64,20.75,India,rhb,Indian,True
Travis Birt,5,9-12-1981,DC,Delhi Capitals,5,75,58,129.31,9,2,5,0,0,0,27,15.0,Australia,lhb,Overseas,False
Michael Klinger,4,4-7-1980,KTK,Kochi Tuskers Kerala,4,73,77,94.8,9,0,4,0,0,0,29,18.25,Australia,rhb,Overseas,True
Manvinder Bisla,5,27-12-1984,KKR,Kolkata Knight Riders,5,72,89,80.89,8,0,5,0,0,0,27,14.4,India,rhb,Indian,True
Wriddhiman Saha,7,24-10-1984,CSK,Chennai Super Kings,3,68,63,107.93,2,4,1,2,0,0,46*,68.0,India,rhb,Indian,True
Amit Mishra,14,24-11-1982,DEC,Deccan Chargers,9,68,49,138.77,9,1,4,5,0,0,25*,17.0,India,rhb,Indian,True
Mohnish Mishra,6,9-2-1984,PWI,Pune Warriors India,5,67,60,111.66,5,2,4,1,0,0,37*,16.75,India,rhb,Indian,True
Tirumalasetti Suman,8,15-12-1983,MI,Mumbai Indians,7,65,51,127.45,5,5,6,1,0,0,36,10.83,India,rhb,Indian,True
David Hussey,8,15-7-1977,PBKS,Punjab Kings,8,64,63,101.58,3,3,6,2,0,0,21*,10.66,Australia,rhb,Overseas,True
Abhishek Nayar,10,8-10-1983,PBKS,Punjab Kings,9,61,67,91.04,9,0,7,2,0,0,17*,8.71,India,lhb,Indian,False
Abhishek Raut,7,3-3-1987,RR,Rajasthan Royals,4,60,58,103.44,5,1,3,1,0,0,25,20.0,India,rhb,Indian,True
Luke Pomersbach,5,28-9-1984,RCB,Royal Challengers Bangalore,4,51,39,130.76,4,2,4,0,0,0,29,12.75,Australia,lhb,Overseas,False
Sourav Ganguly,4,8-7-1972,PWI,Pune Warriors India,3,50,59,84.74,3,2,2,1,0,0,32*,25.0,India,lhb,Indian,False
Mitchell Marsh,5,20-10-1991,PWI,Pune Warriors India,3,50,49,102.04,2,3,2,1,0,0,37,25.0,Australia,rhb,Overseas,True
