Name,RightHandedBat,Nationality,TeamCode,TeamName,Matches,Innings,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled
Dwayne Bravo,False,,CSK,Chennai Super Kings,17,16,426,88,16.38,12.07,8.14,52,22,5,26,4/22,4/22,0,0,0,312
Lasith Malinga,False,,MI,Mumbai Indians,15,15,444,140,18.5,15.0,7.4,60,1,0,24,5/13,5/13,3,1,0,360
Yuzvendra Chahal,False,,RCB,Royal Challengers Bangalore,15,14,415,90,18.04,12.21,8.86,47,0,0,23,4/25,4/25,0,0,0,282
Ashish Nehra,False,,CSK,Chennai Super Kings,16,16,449,170,20.4,16.9,7.24,62,0,0,22,4/10,4/10,0,1,0,372
Mitchell Starc,False,,RCB,Royal Challengers Bangalore,13,12,291,105,14.55,12.9,6.76,43,1,0,20,4/15,4/15,1,1,0,258
Mitchell McClenaghan,False,,MI,Mumbai Indians,12,12,386,118,21.44,15.66,8.21,47,0,2,18,4/21,4/21,0,0,0,282
Harbhajan Singh,False,,MI,Mumbai Indians,15,15,446,117,24.77,19.0,7.82,57,9,9,18,5/18,5/18,1,0,0,342
Bhuvneshwar Kumar,False,,SRH,Sunrisers Hyderabad,14,14,407,126,22.61,17.22,7.87,51,2,1,18,5/19,5/19,1,0,0,306
Harshal Patel,False,,RCB,Royal Challengers Bangalore,15,14,328,103,19.29,15.47,7.48,44,0,2,17,5/27,5/27,0,0,0,264
David Wiese,False,,RCB,Royal Challengers Bangalore,14,13,353,73,22.06,15.87,8.33,42,12,4,16,4/33,4/33,0,1,0,252
Nathan Coulter-Nile,False,,DC,Delhi Capitals,11,11,321,117,21.4,17.0,7.55,42,2,1,15,4/14,4/14,1,1,0,252
Imran Tahir,False,,DC,Delhi Capitals,10,10,314,64,20.93,14.2,8.84,35,0,0,15,4/12,4/12,0,1,0,210
Anureet Singh,False,,PBKS,Punjab Kings,14,14,465,105,31.0,20.66,9.0,51,0,1,15,3/23,3/23,0,0,0,306
Andre Russell,False,,KKR,Kolkata Knight Riders,13,13,324,94,23.14,17.42,7.96,40,35,19,14,5/15,5/15,0,0,0,240
Mohit Sharma,False,,CSK,Chennai Super Kings,16,16,481,121,34.35,24.42,8.43,57,1,2,14,4/14,4/14,0,0,0,342
Axar Patel,False,,PBKS,Punjab Kings,14,14,392,83,30.15,21.53,8.4,46,13,8,13,4/21,4/21,0,0,0,276
Sandeep Sharma,False,,PBKS,Punjab Kings,14,14,350,142,26.92,23.07,7.0,50,1,0,13,4/20,4/20,4,1,0,300
Dhawal Kulkarni,False,,RR,Rajasthan Royals,11,11,277,95,21.3,16.15,7.91,35,0,0,13,4/14,4/14,1,0,0,210
Chris Morris,False,,RR,Rajasthan Royals,11,11,311,113,23.92,19.38,7.4,42,3,5,13,4/23,4/23,0,1,0,252
Moises Henriques,False,,SRH,Sunrisers Hyderabad,9,9,158,57,14.36,13.63,6.32,25,19,13,11,3/12,3/12,0,0,0,150
Piyush Chawla,False,,KKR,Kolkata Knight Riders,13,13,269,65,24.45,19.09,7.68,35,5,2,11,4/17,4/17,0,1,0,210
Ravindra Jadeja,False,,CSK,Chennai Super Kings,17,15,330,84,30.0,23.27,7.73,42,7,3,11,5/16,5/16,0,1,0,252
Ishwar Pandey,False,,CSK,Chennai Super Kings,10,10,223,93,20.27,16.9,7.19,31,0,0,11,2/23,2/23,2,0,0,186
Umesh Yadav,False,,KKR,Kolkata Knight Riders,12,12,382,92,38.2,25.2,9.09,42,5,1,10,4/24,4/24,0,0,0,252
Karn Sharma,False,,SRH,Sunrisers Hyderabad,14,14,332,65,33.2,23.9,8.33,40,3,6,10,4/16,4/16,0,0,0,240
Ravichandran Ashwin,False,,CSK,Chennai Super Kings,14,13,228,114,22.8,23.4,5.84,39,6,1,10,4/34,4/34,0,0,0,234
Jagadeesha Suchith,False,,MI,Mumbai Indians,13,12,337,70,33.7,23.4,8.64,39,4,2,10,2/14,2/14,0,0,0,234
Morne Morkel,False,,KKR,Kolkata Knight Riders,7,7,206,76,20.6,16.8,7.35,28,0,0,10,4/20,4/20,1,0,0,168
Amit Mishra,False,,DC,Delhi Capitals,12,12,310,75,34.44,26.77,7.71,40,0,0,9,5/17,5/17,0,0,0,240
Mitchell Johnson,False,,PBKS,Punjab Kings,9,9,336,90,37.33,23.88,9.37,36,1,1,9,3/26,3/26,1,0,0,216
Brad Hogg,False,,KKR,Kolkata Knight Riders,6,6,144,50,16.0,14.0,6.85,21,0,0,9,4/29,4/29,0,1,0,126
Trent Boult,False,,SRH,Sunrisers Hyderabad,7,7,236,71,26.22,18.66,8.42,28,0,0,9,4/18,4/18,0,0,0,168
James Faulkner,False,,RR,Rajasthan Royals,13,13,426,89,53.25,33.75,9.46,45,12,5,8,5/16,5/16,1,0,0,270
Sreenath Aravind,False,,RCB,Royal Challengers Bangalore,5,5,132,47,16.5,13.5,7.33,18,0,0,8,4/14,4/14,0,1,0,108
JP Duminy,False,,DC,Delhi Capitals,14,9,126,33,15.75,12.75,7.41,17,27,20,8,4/17,4/17,0,1,0,102
Angelo Mathews,False,,DC,Delhi Capitals,11,10,246,61,35.14,25.71,8.2,30,12,6,7,4/19,4/19,0,0,0,180
Zaheer Khan,False,,DC,Delhi Capitals,7,7,156,73,22.28,20.71,6.45,24,0,0,7,4/17,4/17,1,0,0,144
Sunil Narine,False,,KKR,Kolkata Knight Riders,8,8,234,74,33.42,27.42,7.31,32,0,0,7,5/19,5/19,0,1,0,192
Praveen Kumar,False,,SRH,Sunrisers Hyderabad,12,12,329,71,47.0,30.85,9.13,36,1,0,7,3/18,3/18,0,0,0,216
Pravin Tambe,False,,RR,Rajasthan Royals,10,10,266,69,38.0,29.14,7.82,34,0,0,7,4/20,4/20,0,0,0,204
Vinay Kumar,False,,MI,Mumbai Indians,13,13,368,93,52.57,37.28,8.45,43,0,0,7,4/40,4/40,0,0,0,258
Ravi Bopara,False,,SRH,Sunrisers Hyderabad,9,7,160,37,26.66,20.0,8.0,20,6,6,6,3/31,3/31,0,0,0,120
Shane Watson,False,,RR,Rajasthan Royals,10,10,269,62,44.83,29.0,9.27,29,37,14,6,4/29,4/29,1,0,0,174
Pawan Negi,False,,CSK,Chennai Super Kings,10,10,252,53,42.0,30.0,8.4,30,10,5,6,4/18,4/18,0,0,0,180
Tim Southee,False,,RR,Rajasthan Royals,7,7,247,67,41.16,28.0,8.82,28,1,0,6,3/24,3/24,1,0,0,168
Beuran Hendricks,False,,PBKS,Punjab Kings,4,4,109,27,21.8,15.6,8.38,13,0,0,5,3/36,3/36,0,0,0,78
Stuart Binny,False,,RR,Rajasthan Royals,13,10,140,56,35.0,28.5,7.36,19,7,1,4,2/14,2/14,0,0,0,114
Domnic Joseph,False,,DC,Delhi Capitals,6,6,101,44,25.25,21.0,7.21,14,0,0,4,2/18,2/18,0,0,0,84
